episode,passage_width,body_margin,d_hat,d_std,d_err,ci_lo,ci_hi,calib_attempted,rolling_sr_oracle,rolling_sr_fixed,rolling_sr_calib
0,0.4723,0.0561,0.5597,0.0795,0.1997,0.4291,0.6915,0,1.0,0.0,0.0
1,0.5988,0.1194,0.5597,0.0795,0.1997,0.4291,0.6915,0,1.0,0.5,0.0
2,0.8721,0.256,0.5596,0.0794,0.1996,0.4291,0.6915,1,1.0,0.6667,0.3333
3,0.578,0.109,0.5126,0.059,0.1526,0.408,0.601,1,1.0,0.75,0.5
4,0.4772,0.0586,0.5126,0.059,0.1526,0.408,0.601,0,1.0,0.6,0.4
5,0.7657,0.2029,0.5125,0.059,0.1525,0.408,0.601,1,1.0,0.6667,0.5
6,0.7375,0.1888,0.5124,0.0589,0.1524,0.408,0.601,1,1.0,0.7143,0.5714
7,0.8364,0.2382,0.5124,0.0589,0.1524,0.408,0.601,1,1.0,0.75,0.625
8,0.7506,0.1953,0.5123,0.0588,0.1523,0.408,0.601,1,1.0,0.7778,0.6667
9,0.5355,0.0878,0.4839,0.0513,0.1239,0.393,0.5588,1,1.0,0.7,0.7
10,0.5602,0.1001,0.4763,0.0488,0.1163,0.3869,0.5467,1,1.0,0.7273,0.7273
11,0.7133,0.1767,0.4763,0.0488,0.1163,0.3869,0.5467,1,1.0,0.75,0.75
12,0.7058,0.1729,0.4763,0.0488,0.1163,0.3869,0.5467,1,1.0,0.7692,0.7692
13,0.6186,0.1293,0.4755,0.0485,0.1155,0.3869,0.5437,1,1.0,0.7857,0.7857
14,0.6747,0.1573,0.4754,0.0485,0.1154,0.3869,0.5437,1,1.0,0.8,0.8
15,0.6382,0.1391,0.4751,0.0484,0.1151,0.3869,0.5437,1,1.0,0.8125,0.8125
16,0.488,0.064,0.4751,0.0484,0.1151,0.3869,0.5437,0,1.0,0.7647,0.7647
17,0.5894,0.1147,0.4732,0.0478,0.1132,0.3869,0.5407,1,1.0,0.7778,0.7778
18,0.4598,0.0499,0.4732,0.0478,0.1132,0.3869,0.5407,0,1.0,0.7368,0.7368
19,0.6016,0.1208,0.4721,0.0474,0.1121,0.3839,0.5407,1,1.0,0.75,0.75
20,0.8313,0.2356,0.4721,0.0474,0.1121,0.3839,0.5407,1,1.0,0.7619,0.7619
21,0.7274,0.1837,0.4721,0.0474,0.1121,0.3839,0.5377,1,1.0,0.7727,0.7727
22,0.5888,0.1144,0.4705,0.047,0.1105,0.3839,0.5377,1,1.0,0.7826,0.7826
23,0.752,0.196,0.4705,0.047,0.1105,0.3839,0.5377,1,1.0,0.7917,0.7917
24,0.7093,0.1746,0.4705,0.047,0.1105,0.3839,0.5377,1,1.0,0.8,0.8
25,0.8502,0.2451,0.4705,0.047,0.1105,0.3839,0.5377,1,1.0,0.8077,0.8077
26,0.4493,0.0447,0.4705,0.047,0.1105,0.3839,0.5377,0,1.0,0.7778,0.7778
27,0.7463,0.1932,0.4705,0.047,0.1105,0.3839,0.5377,1,1.0,0.7857,0.7857
28,0.5354,0.0877,0.4629,0.0455,0.1029,0.3779,0.5256,1,1.0,0.7586,0.7931
29,0.6944,0.1672,0.4629,0.0455,0.1029,0.3779,0.5256,1,1.0,0.7667,0.8
30,0.8929,0.2665,0.4629,0.0455,0.1029,0.3779,0.5256,1,1.0,0.7742,0.8065
31,0.8753,0.2576,0.4629,0.0455,0.1029,0.3779,0.5256,1,1.0,0.7812,0.8125
32,0.5437,0.0918,0.4584,0.0446,0.0984,0.3749,0.5196,1,1.0,0.7576,0.8182
33,0.6344,0.1372,0.4583,0.0445,0.0983,0.3749,0.5196,1,1.0,0.7647,0.8235
34,0.7398,0.1899,0.4583,0.0445,0.0983,0.3749,0.5196,1,1.0,0.7714,0.8286
35,0.701,0.1705,0.4583,0.0445,0.0983,0.3749,0.5196,1,1.0,0.7778,0.8333
36,0.3824,0.0112,0.4583,0.0445,0.0983,0.3749,0.5196,0,1.0,0.7568,0.8108
37,0.6127,0.1263,0.458,0.0445,0.098,0.3749,0.5196,1,1.0,0.7632,0.8158
38,0.7337,0.1869,0.458,0.0445,0.098,0.3749,0.5196,1,1.0,0.7692,0.8205
39,0.4188,0.0294,0.458,0.0445,0.098,0.3749,0.5196,0,0.975,0.75,0.8
40,0.7836,0.2118,0.458,0.0445,0.098,0.3749,0.5196,1,0.9756,0.7561,0.8049
41,0.8005,0.2203,0.458,0.0445,0.098,0.3749,0.5196,1,0.9762,0.7619,0.8095
42,0.7646,0.2023,0.458,0.0445,0.098,0.3749,0.5196,1,0.9767,0.7674,0.814
43,0.4445,0.0422,0.426,0.043,0.066,0.3508,0.4894,1,0.9773,0.75,0.8182
44,0.4161,0.028,0.426,0.043,0.066,0.3508,0.4894,0,0.9778,0.7333,0.8
45,0.5319,0.0859,0.4241,0.0423,0.0641,0.3477,0.4864,1,0.9783,0.7174,0.8043
46,0.5914,0.1157,0.4239,0.0422,0.0639,0.3477,0.4864,1,0.9787,0.7234,0.8085
47,0.6789,0.1595,0.4239,0.0422,0.0639,0.3477,0.4864,1,0.9792,0.7292,0.8125
48,0.4869,0.0635,0.4172,0.0406,0.0572,0.3447,0.4774,1,0.9796,0.7143,0.8163
49,0.8411,0.2406,0.4172,0.0406,0.0572,0.3447,0.4774,1,0.98,0.72,0.82
50,0.484,0.062,0.4119,0.0393,0.0519,0.3417,0.4683,1,0.98,0.72,0.84
51,0.7667,0.2034,0.4119,0.0393,0.0519,0.3417,0.4683,1,0.98,0.72,0.86
52,0.5988,0.1194,0.4119,0.0393,0.0519,0.3417,0.4683,1,0.98,0.72,0.86
53,0.386,0.013,0.3805,0.0387,0.0205,0.3116,0.4382,1,0.98,0.7,0.86
54,0.4013,0.0206,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.7,0.88
55,0.7659,0.2029,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.7,0.88
56,0.6895,0.1647,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.7,0.88
57,0.8054,0.2227,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.7,0.88
58,0.6837,0.1619,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.7,0.88
59,0.6088,0.1244,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.72,0.88
60,0.6644,0.1522,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.72,0.88
61,0.669,0.1545,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.72,0.88
62,0.6214,0.1307,0.3659,0.0361,0.0059,0.3025,0.4201,1,0.98,0.72,0.88
63,0.5231,0.0815,0.3657,0.036,0.0057,0.3025,0.4201,1,0.98,0.7,0.88
64,0.4781,0.0591,0.3648,0.0357,0.0048,0.3025,0.4171,1,0.98,0.68,0.88
65,0.4693,0.0547,0.3636,0.0353,0.0036,0.2995,0.4171,1,0.98,0.66,0.88
66,0.6695,0.1548,0.3636,0.0353,0.0036,0.2995,0.4171,1,0.98,0.68,0.9
67,0.8283,0.2342,0.3636,0.0353,0.0036,0.2995,0.4171,1,0.98,0.68,0.9
68,0.8139,0.2269,0.3636,0.0353,0.0036,0.2995,0.4171,1,0.98,0.7,0.92
69,0.7872,0.2136,0.3636,0.0353,0.0036,0.2995,0.4171,1,0.98,0.7,0.92
70,0.8889,0.2645,0.3636,0.0353,0.0036,0.2995,0.4171,1,0.98,0.7,0.92
71,0.4831,0.0616,0.3629,0.0351,0.0029,0.2995,0.4141,1,0.98,0.68,0.92
72,0.4345,0.0372,0.3596,0.0343,0.0004,0.2965,0.4111,1,0.98,0.66,0.92
73,0.5957,0.1178,0.3596,0.0343,0.0004,0.2965,0.4111,1,0.98,0.66,0.92
74,0.5003,0.0701,0.3593,0.0343,0.0007,0.2965,0.408,1,0.98,0.64,0.92
75,0.556,0.098,0.3593,0.0343,0.0007,0.2965,0.408,1,0.98,0.62,0.92
76,0.8702,0.2551,0.3593,0.0343,0.0007,0.2965,0.408,1,0.98,0.64,0.94
77,0.3661,0.003,0.3593,0.0343,0.0007,0.2965,0.408,0,0.96,0.62,0.92
78,0.8926,0.2663,0.3593,0.0343,0.0007,0.2965,0.408,1,0.96,0.64,0.92
79,0.6746,0.1573,0.3593,0.0343,0.0007,0.2965,0.408,1,0.96,0.64,0.92
80,0.5407,0.0904,0.3593,0.0343,0.0007,0.2965,0.408,1,0.96,0.62,0.92
81,0.4595,0.0497,0.3581,0.034,0.0019,0.2965,0.408,1,0.96,0.6,0.92
82,0.7739,0.207,0.3581,0.034,0.0019,0.2965,0.408,1,0.96,0.62,0.92
83,0.7894,0.2147,0.3581,0.034,0.0019,0.2965,0.408,1,0.96,0.62,0.92
84,0.786,0.213,0.3581,0.034,0.0019,0.2965,0.408,1,0.96,0.62,0.92
85,0.7366,0.1883,0.3581,0.034,0.0019,0.2965,0.408,1,0.96,0.62,0.92
86,0.3964,0.0182,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.62,0.94
87,0.7929,0.2164,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.62,0.94
88,0.6709,0.1554,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.62,0.94
89,0.6899,0.1649,0.3504,0.033,0.0096,0.2905,0.399,1,0.98,0.64,0.96
90,0.7612,0.2006,0.3504,0.033,0.0096,0.2905,0.399,1,0.98,0.64,0.96
91,0.3697,0.0049,0.3504,0.033,0.0096,0.2905,0.399,0,0.96,0.62,0.94
92,0.7721,0.2061,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.62,0.94
93,0.7005,0.1703,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.64,0.94
94,0.6475,0.1438,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.66,0.96
95,0.6142,0.1271,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.68,0.96
96,0.732,0.186,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.68,0.96
97,0.5432,0.0916,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.66,0.96
98,0.657,0.1485,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.68,0.96
99,0.7145,0.1772,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.68,0.96
100,0.763,0.2015,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.7,0.96
101,0.8857,0.2628,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.7,0.96
102,0.723,0.1815,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.7,0.96
103,0.5993,0.1197,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.72,0.96
104,0.6684,0.1542,0.3504,0.033,0.0096,0.2905,0.399,1,0.96,0.74,0.96
105,0.5079,0.0739,0.3503,0.033,0.0097,0.2905,0.399,1,0.96,0.72,0.96
106,0.5667,0.1033,0.3503,0.033,0.0097,0.2905,0.399,1,0.96,0.72,0.96
107,0.7783,0.2092,0.3503,0.033,0.0097,0.2905,0.399,1,0.96,0.72,0.96
