episode,agent,passage_width,body_margin,success,rejected,collision,steps
0,oracle,0.4723,0.0561,1.0,0.0,0.0,42
0,fixed,0.4723,0.0561,0.0,1.0,0.0,0
0,calib,0.4723,0.0561,0.0,1.0,0.0,0
1,oracle,0.5988,0.1194,1.0,0.0,0.0,53
1,fixed,0.5988,0.1194,1.0,0.0,0.0,53
1,calib,0.5988,0.1194,0.0,1.0,0.0,0
2,oracle,0.8721,0.256,1.0,0.0,0.0,45
2,fixed,0.8721,0.256,1.0,0.0,0.0,45
2,calib,0.8721,0.256,1.0,0.0,0.0,45
3,oracle,0.578,0.109,1.0,0.0,0.0,41
3,fixed,0.578,0.109,1.0,0.0,0.0,41
3,calib,0.578,0.109,1.0,0.0,0.0,41
4,oracle,0.4772,0.0586,1.0,0.0,0.0,36
4,fixed,0.4772,0.0586,0.0,1.0,0.0,0
4,calib,0.4772,0.0586,0.0,1.0,0.0,0
5,oracle,0.7657,0.2029,1.0,0.0,0.0,48
5,fixed,0.7657,0.2029,1.0,0.0,0.0,48
5,calib,0.7657,0.2029,1.0,0.0,0.0,48
6,oracle,0.7375,0.1888,1.0,0.0,0.0,62
6,fixed,0.7375,0.1888,1.0,0.0,0.0,62
6,calib,0.7375,0.1888,1.0,0.0,0.0,62
7,oracle,0.8364,0.2382,1.0,0.0,0.0,39
7,fixed,0.8364,0.2382,1.0,0.0,0.0,39
7,calib,0.8364,0.2382,1.0,0.0,0.0,39
8,oracle,0.7506,0.1953,1.0,0.0,0.0,52
8,fixed,0.7506,0.1953,1.0,0.0,0.0,52
8,calib,0.7506,0.1953,1.0,0.0,0.0,52
9,oracle,0.5355,0.0878,1.0,0.0,0.0,51
9,fixed,0.5355,0.0878,0.0,1.0,0.0,0
9,calib,0.5355,0.0878,1.0,0.0,0.0,51
10,oracle,0.5602,0.1001,1.0,0.0,0.0,54
10,fixed,0.5602,0.1001,1.0,0.0,0.0,54
10,calib,0.5602,0.1001,1.0,0.0,0.0,54
11,oracle,0.7133,0.1767,1.0,0.0,0.0,46
11,fixed,0.7133,0.1767,1.0,0.0,0.0,46
11,calib,0.7133,0.1767,1.0,0.0,0.0,46
12,oracle,0.7058,0.1729,1.0,0.0,0.0,45
12,fixed,0.7058,0.1729,1.0,0.0,0.0,45
12,calib,0.7058,0.1729,1.0,0.0,0.0,45
13,oracle,0.6186,0.1293,1.0,0.0,0.0,51
13,fixed,0.6186,0.1293,1.0,0.0,0.0,51
13,calib,0.6186,0.1293,1.0,0.0,0.0,51
14,oracle,0.6747,0.1573,1.0,0.0,0.0,61
14,fixed,0.6747,0.1573,1.0,0.0,0.0,61
14,calib,0.6747,0.1573,1.0,0.0,0.0,61
15,oracle,0.6382,0.1391,1.0,0.0,0.0,45
15,fixed,0.6382,0.1391,1.0,0.0,0.0,45
15,calib,0.6382,0.1391,1.0,0.0,0.0,45
16,oracle,0.488,0.064,1.0,0.0,0.0,49
16,fixed,0.488,0.064,0.0,1.0,0.0,0
16,calib,0.488,0.064,0.0,1.0,0.0,0
17,oracle,0.5894,0.1147,1.0,0.0,0.0,42
17,fixed,0.5894,0.1147,1.0,0.0,0.0,42
17,calib,0.5894,0.1147,1.0,0.0,0.0,42
18,oracle,0.4598,0.0499,1.0,0.0,0.0,40
18,fixed,0.4598,0.0499,0.0,1.0,0.0,0
18,calib,0.4598,0.0499,0.0,1.0,0.0,0
19,oracle,0.6016,0.1208,1.0,0.0,0.0,55
19,fixed,0.6016,0.1208,1.0,0.0,0.0,55
19,calib,0.6016,0.1208,1.0,0.0,0.0,55
20,oracle,0.8313,0.2356,1.0,0.0,0.0,37
20,fixed,0.8313,0.2356,1.0,0.0,0.0,37
20,calib,0.8313,0.2356,1.0,0.0,0.0,37
21,oracle,0.7274,0.1837,1.0,0.0,0.0,41
21,fixed,0.7274,0.1837,1.0,0.0,0.0,41
21,calib,0.7274,0.1837,1.0,0.0,0.0,41
22,oracle,0.5888,0.1144,1.0,0.0,0.0,57
22,fixed,0.5888,0.1144,1.0,0.0,0.0,57
22,calib,0.5888,0.1144,1.0,0.0,0.0,57
23,oracle,0.752,0.196,1.0,0.0,0.0,41
23,fixed,0.752,0.196,1.0,0.0,0.0,41
23,calib,0.752,0.196,1.0,0.0,0.0,41
24,oracle,0.7093,0.1746,1.0,0.0,0.0,55
24,fixed,0.7093,0.1746,1.0,0.0,0.0,55
24,calib,0.7093,0.1746,1.0,0.0,0.0,55
25,oracle,0.8502,0.2451,1.0,0.0,0.0,38
25,fixed,0.8502,0.2451,1.0,0.0,0.0,38
25,calib,0.8502,0.2451,1.0,0.0,0.0,38
26,oracle,0.4493,0.0447,1.0,0.0,0.0,53
26,fixed,0.4493,0.0447,0.0,1.0,0.0,0
26,calib,0.4493,0.0447,0.0,1.0,0.0,0
27,oracle,0.7463,0.1932,1.0,0.0,0.0,38
27,fixed,0.7463,0.1932,1.0,0.0,0.0,38
27,calib,0.7463,0.1932,1.0,0.0,0.0,38
28,oracle,0.5354,0.0877,1.0,0.0,0.0,42
28,fixed,0.5354,0.0877,0.0,1.0,0.0,0
