episode,corridor_type,success,collision,steps,min_body_margin
0,narrow_exit,1.0,0.0,103,0.02840356156229973
1,s_shaped,1.0,0.0,121,0.09544453024864197
2,l_shaped,1.0,0.0,99,0.037999581545591354
3,straight,1.0,0.0,105,0.048781488090753555
4,false_feasible,0.0,0.0,300,0.11900855600833893
5,asymmetric,1.0,0.0,93,0.0638606995344162
6,s_shaped,1.0,0.0,124,0.07694705575704575
7,narrow_exit,1.0,0.0,88,0.03206687420606613
8,l_shaped,1.0,0.0,113,0.0751194953918457
9,asymmetric,0.0,1.0,97,0.006875182967633009
10,false_feasible,0.0,0.0,300,0.12921357154846191
11,straight,1.0,0.0,97,0.10355421155691147
12,l_shaped,1.0,0.0,93,0.0720445066690445
13,asymmetric,1.0,0.0,105,0.10308476537466049
14,asymmetric,0.0,0.0,300,0.09077416360378265
15,narrow_exit,0.0,0.0,300,0.027584237977862358
16,narrow_exit,1.0,0.0,97,0.0446225143969059
17,asymmetric,0.0,1.0,52,0.00735705578699708
18,l_shaped,1.0,0.0,95,0.023343525826931
19,s_shaped,0.0,0.0,300,0.04383903369307518
20,l_shaped,1.0,0.0,98,0.10183127224445343
21,narrow_entry,1.0,0.0,97,0.07505021244287491
22,l_shaped,1.0,0.0,114,0.04871214181184769
23,narrow_exit,1.0,0.0,99,0.02784196473658085
24,l_shaped,1.0,0.0,105,0.08605466783046722
25,straight,1.0,0.0,82,0.02883702702820301
26,s_shaped,1.0,0.0,121,0.04747754707932472
27,narrow_exit,1.0,0.0,109,0.042012836784124374
28,asymmetric,1.0,0.0,103,0.14471721649169922
29,straight,1.0,0.0,92,0.15184634923934937
30,l_shaped,1.0,0.0,96,0.06408890336751938
31,false_feasible,0.0,0.0,300,0.07702392339706421
32,straight,1.0,0.0,87,0.11777237802743912
33,s_shaped,0.0,1.0,114,0.03687901049852371
34,straight,1.0,0.0,81,0.20941151678562164
35,l_shaped,1.0,0.0,128,0.0629553496837616
36,straight,1.0,0.0,107,0.09174400568008423
37,narrow_entry,0.0,1.0,18,4.820000171661377
38,s_shaped,1.0,0.0,128,0.04601135104894638
39,s_shaped,1.0,0.0,118,0.07436203956604004
