episode_id,body_margin,delta_d,difficulty,success,steps
hm3d_narrow_000026,0.0701,0.1402,narrow,0.0,87
hm3d_narrow_000027,0.0853,0.1706,narrow,1.0,99
hm3d_narrow_000025,0.1656,0.3312,normal,1.0,205
hm3d_narrow_000029,0.1041,0.2082,narrow,1.0,105
hm3d_narrow_000022,0.0352,0.0704,narrow,1.0,40
hm3d_narrow_000021,0.0206,0.0412,narrow,1.0,51
hm3d_narrow_000024,0.4601,0.9202,wide,1.0,47
hm3d_narrow_000023,0.2256,0.4512,normal,1.0,187
hm3d_narrow_000020,0.0311,0.0622,narrow,1.0,38
hm3d_narrow_000028,0.0663,0.1326,narrow,1.0,64
hm3d_narrow_000008,0.0649,0.1298,narrow,1.0,59
hm3d_narrow_000004,0.3876,0.7752,normal,1.0,80
hm3d_narrow_000005,0.3156,0.6312,normal,1.0,175
hm3d_narrow_000001,0.2931,0.5862,normal,1.0,118
hm3d_narrow_000009,0.1024,0.2048,narrow,1.0,68
hm3d_narrow_000002,0.0511,0.1022,narrow,1.0,101
hm3d_narrow_000007,0.2711,0.5422,normal,1.0,81
hm3d_narrow_000006,0.0592,0.1184,narrow,1.0,73
hm3d_narrow_000003,0.109,0.218,narrow,1.0,137
hm3d_narrow_000000,0.6247,1.2494,wide,1.0,73
hm3d_narrow_000011,0.0438,0.0876,narrow,0.0,500
hm3d_narrow_000010,0.0772,0.1544,narrow,1.0,111
hm3d_narrow_000017,0.2182,0.4364,normal,1.0,164
hm3d_narrow_000013,0.3149,0.6298,normal,1.0,81
hm3d_narrow_000019,0.0709,0.1418,narrow,1.0,123
hm3d_narrow_000014,0.3289,0.6578,normal,1.0,129
hm3d_narrow_000016,0.2201,0.4402,normal,1.0,164
hm3d_narrow_000018,0.0938,0.1876,narrow,1.0,96
hm3d_narrow_000015,0.1825,0.365,normal,1.0,64
hm3d_narrow_000012,0.0107,0.0214,narrow,1.0,139
hm3d_narrow_000073,0.1413,0.2826,narrow,1.0,88
hm3d_narrow_000071,0.1449,0.2898,narrow,1.0,108
hm3d_narrow_000078,0.0161,0.0322,narrow,1.0,115
hm3d_narrow_000074,0.1792,0.3584,normal,1.0,58
hm3d_narrow_000076,0.1925,0.385,normal,1.0,158
hm3d_narrow_000075,0.1531,0.3062,normal,1.0,62
hm3d_narrow_000072,0.2783,0.5566,normal,1.0,33
hm3d_narrow_000077,0.1221,0.2442,narrow,1.0,138
hm3d_narrow_000070,0.1377,0.2754,narrow,1.0,54
hm3d_narrow_000079,0.0221,0.0442,narrow,1.0,74
hm3d_narrow_000123,0.5214,1.0428,wide,1.0,38
hm3d_narrow_000121,0.3339,0.6678,normal,1.0,58
hm3d_narrow_000120,0.3395,0.679,normal,1.0,88
hm3d_narrow_000114,0.3689,0.7378,normal,1.0,56
hm3d_narrow_000119,0.3254,0.6508,normal,1.0,47
hm3d_narrow_000122,0.3811,0.7622,normal,1.0,133
hm3d_narrow_000115,0.3114,0.6228,normal,1.0,58
hm3d_narrow_000118,0.1341,0.2682,narrow,0.0,80
hm3d_narrow_000116,0.2413,0.4826,normal,1.0,205
hm3d_narrow_000117,0.5931,1.1862,wide,1.0,187
hm3d_narrow_000097,0.0727,0.1454,narrow,1.0,125
hm3d_narrow_000093,0.0456,0.0912,narrow,1.0,54
hm3d_narrow_000095,0.0084,0.0168,narrow,1.0,101
hm3d_narrow_000092,0.1973,0.3946,normal,1.0,112
hm3d_narrow_000098,0.0033,0.0066,narrow,1.0,133
hm3d_narrow_000096,0.1307,0.2614,narrow,1.0,35
hm3d_narrow_000099,0.0164,0.0328,narrow,0.0,500
hm3d_narrow_000094,0.0808,0.1616,narrow,1.0,35
hm3d_narrow_000153,0.4393,0.8786,wide,1.0,99
hm3d_narrow_000155,0.9153,1.8306,wide,0.0,75
hm3d_narrow_000151,0.0217,0.0434,narrow,1.0,175
hm3d_narrow_000152,0.0792,0.1584,narrow,1.0,153
hm3d_narrow_000150,0.4816,0.9632,wide,0.0,241
hm3d_narrow_000156,0.0335,0.067,narrow,1.0,156
hm3d_narrow_000154,0.1006,0.2012,narrow,1.0,188
hm3d_narrow_000080,0.0401,0.0802,narrow,1.0,36
hm3d_narrow_000084,0.1049,0.2098,narrow,1.0,119
hm3d_narrow_000082,0.2234,0.4468,normal,1.0,108
hm3d_narrow_000087,0.1092,0.2184,narrow,1.0,122
hm3d_narrow_000086,0.1245,0.249,narrow,1.0,124
hm3d_narrow_000081,0.0649,0.1298,narrow,1.0,70
hm3d_narrow_000083,0.2244,0.4488,normal,1.0,78
hm3d_narrow_000088,0.0096,0.0192,narrow,1.0,148
hm3d_narrow_000085,0.0211,0.0422,narrow,1.0,77
hm3d_narrow_000089,0.024,0.048,narrow,1.0,289
hm3d_narrow_000112,0.2692,0.5384,normal,1.0,27
hm3d_narrow_000111,0.0745,0.149,narrow,0.0,500
hm3d_narrow_000105,0.3516,0.7032,normal,1.0,60
hm3d_narrow_000106,0.3598,0.7196,normal,1.0,92
hm3d_narrow_000107,0.0859,0.1718,narrow,1.0,281
hm3d_narrow_000113,0.229,0.458,normal,1.0,45
hm3d_narrow_000108,0.0539,0.1078,narrow,1.0,24
hm3d_narrow_000109,0.2586,0.5172,normal,1.0,29
hm3d_narrow_000110,0.1979,0.3958,normal,1.0,187
hm3d_narrow_000125,0.0602,0.1204,narrow,1.0,29
hm3d_narrow_000130,0.1605,0.321,normal,1.0,100
hm3d_narrow_000128,0.1434,0.2868,narrow,1.0,80
hm3d_narrow_000124,0.1318,0.2636,narrow,1.0,190
hm3d_narrow_000126,0.1236,0.2472,narrow,1.0,65
hm3d_narrow_000127,0.0294,0.0588,narrow,1.0,53
hm3d_narrow_000131,0.1439,0.2878,narrow,1.0,129
hm3d_narrow_000129,0.1055,0.211,narrow,1.0,47
hm3d_narrow_000040,0.1617,0.3234,normal,1.0,41
hm3d_narrow_000042,0.0426,0.0852,narrow,1.0,123
hm3d_narrow_000047,0.1521,0.3042,normal,1.0,49
hm3d_narrow_000041,0.5214,1.0428,wide,1.0,93
hm3d_narrow_000046,0.0972,0.1944,narrow,1.0,155
hm3d_narrow_000043,0.2007,0.4014,normal,1.0,87
hm3d_narrow_000049,0.5861,1.1722,wide,0.0,113
hm3d_narrow_000048,0.0935,0.187,narrow,1.0,157
hm3d_narrow_000045,0.1651,0.3302,normal,1.0,37
hm3d_narrow_000044,0.0938,0.1876,narrow,1.0,56
hm3d_narrow_000034,0.3009,0.6018,normal,1.0,30
hm3d_narrow_000039,0.2361,0.4722,normal,1.0,50
