steps,success,collision,stuck,near_collision,min_clearance,episode_id,difficulty,body_margin,variant
45,1.0,0.0,0.0,1.0,-0.08735565096139908,hm3d_narrow_000026,narrow,0.0701,full
42,1.0,0.0,0.0,1.0,-0.10002865642309189,hm3d_narrow_000027,narrow,0.0853,full
87,1.0,0.0,0.0,1.0,-0.13317789137363434,hm3d_narrow_000025,normal,0.1656,full
58,1.0,0.0,0.0,1.0,-0.12820827960968018,hm3d_narrow_000029,narrow,0.1041,full
46,1.0,0.0,0.0,1.0,-0.06151203811168671,hm3d_narrow_000022,narrow,0.0352,full
28,1.0,0.0,0.0,1.0,-0.1203758642077446,hm3d_narrow_000021,narrow,0.0206,full
53,1.0,0.0,0.0,1.0,-0.037426214665174484,hm3d_narrow_000024,wide,0.4601,full
60,1.0,0.0,0.0,1.0,-0.12742480635643005,hm3d_narrow_000023,normal,0.2256,full
43,1.0,0.0,0.0,1.0,-0.050922803580760956,hm3d_narrow_000020,narrow,0.0311,full
34,1.0,0.0,0.0,1.0,-0.11822845786809921,hm3d_narrow_000028,narrow,0.0663,full
28,1.0,0.0,0.0,1.0,-0.048867832869291306,hm3d_narrow_000008,narrow,0.0649,full
27,1.0,0.0,0.0,1.0,-0.10884011536836624,hm3d_narrow_000004,normal,0.3876,full
60,1.0,0.0,0.0,1.0,-0.10511644184589386,hm3d_narrow_000005,normal,0.3156,full
42,1.0,0.0,0.0,1.0,-0.09715261310338974,hm3d_narrow_000001,normal,0.2931,full
32,1.0,0.0,0.0,1.0,-0.1217389702796936,hm3d_narrow_000009,narrow,0.1024,full
90,1.0,0.0,0.0,1.0,-0.12098091095685959,hm3d_narrow_000002,narrow,0.0511,full
27,1.0,0.0,0.0,1.0,-0.13545234501361847,hm3d_narrow_000007,normal,0.2711,full
44,1.0,0.0,0.0,1.0,-0.12714318931102753,hm3d_narrow_000006,narrow,0.0592,full
49,1.0,0.0,0.0,1.0,-0.09500162303447723,hm3d_narrow_000003,narrow,0.109,full
27,1.0,0.0,0.0,1.0,-0.0747886598110199,hm3d_narrow_000000,wide,0.6247,full
99,1.0,0.0,0.0,1.0,-0.12005490809679031,hm3d_narrow_000011,narrow,0.0438,full
38,1.0,0.0,0.0,1.0,-0.11737918108701706,hm3d_narrow_000010,narrow,0.0772,full
86,1.0,0.0,0.0,1.0,-0.053316038101911545,hm3d_narrow_000017,normal,0.2182,full
27,1.0,0.0,0.0,1.0,-0.09089698642492294,hm3d_narrow_000013,normal,0.3149,full
50,1.0,0.0,0.0,1.0,-0.09058309346437454,hm3d_narrow_000019,narrow,0.0709,full
54,1.0,0.0,0.0,1.0,-0.055247917771339417,hm3d_narrow_000014,normal,0.3289,full
61,1.0,0.0,0.0,1.0,-0.07152014225721359,hm3d_narrow_000016,normal,0.2201,full
50,1.0,0.0,0.0,1.0,-0.12521740794181824,hm3d_narrow_000018,narrow,0.0938,full
44,1.0,0.0,0.0,1.0,-0.06281924992799759,hm3d_narrow_000015,normal,0.1825,full
45,1.0,0.0,0.0,1.0,-0.18000000715255737,hm3d_narrow_000012,narrow,0.0107,full
97,1.0,0.0,0.0,1.0,-0.09456159174442291,hm3d_narrow_000073,narrow,0.1413,full
