steps,success,collision,stuck,near_collision,min_clearance,recover_triggers,episode_id,difficulty,body_margin,variant
34,1.0,0.0,0.0,1.0,-0.13604290783405304,0,hm3d_narrow_000083,narrow,0.0211,full
41,1.0,0.0,0.0,1.0,-0.13532677292823792,0,hm3d_narrow_000078,narrow,0.0401,full
50,1.0,0.0,0.0,1.0,-0.14604830741882324,0,hm3d_narrow_000086,narrow,0.0096,full
66,1.0,0.0,0.0,1.0,-0.15226978063583374,0,hm3d_narrow_000140,narrow,0.0217,full
113,1.0,0.0,0.0,1.0,-0.11050092428922653,0,hm3d_narrow_000147,narrow,0.0089,full
67,1.0,0.0,0.0,1.0,-0.13601893186569214,0,hm3d_narrow_000143,narrow,0.0335,full
51,1.0,0.0,0.0,1.0,-0.15152068436145782,0,hm3d_narrow_000138,narrow,0.0062,full
36,1.0,0.0,0.0,1.0,-0.16045428812503815,0,hm3d_narrow_000137,narrow,0.0475,full
41,1.0,0.0,0.0,1.0,-0.1423257738351822,0,hm3d_narrow_000132,narrow,0.0106,full
30,1.0,0.0,0.0,1.0,-0.0974525734782219,0,hm3d_narrow_000053,narrow,0.0264,full
43,1.0,0.0,0.0,1.0,-0.09826651215553284,0,hm3d_narrow_000018,narrow,0.0311,full
28,1.0,0.0,0.0,1.0,-0.14031605422496796,0,hm3d_narrow_000019,narrow,0.0206,full
46,1.0,0.0,0.0,1.0,-0.11589036136865616,0,hm3d_narrow_000020,narrow,0.0352,full
103,1.0,0.0,0.0,1.0,-0.1430247724056244,0,hm3d_narrow_000093,narrow,0.0124,full
32,1.0,0.0,0.0,1.0,-0.15970678627490997,0,hm3d_narrow_000091,narrow,0.0182,full
52,1.0,0.0,0.0,1.0,-0.1409216672182083,0,hm3d_narrow_000092,narrow,0.0089,full
99,1.0,0.0,0.0,1.0,-0.13624876737594604,0,hm3d_narrow_000010,narrow,0.0438,full
45,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,full
53,1.0,0.0,0.0,1.0,-0.09559742361307144,0,hm3d_narrow_000076,narrow,0.0161,full
32,1.0,0.0,0.0,1.0,-0.1184815987944603,0,hm3d_narrow_000077,narrow,0.0221,full
59,1.0,0.0,0.0,1.0,-0.14672034978866577,0,hm3d_narrow_000129,narrow,0.0299,full
56,1.0,0.0,0.0,1.0,-0.10517051815986633,0,hm3d_narrow_000115,narrow,0.0294,full
34,1.0,0.0,0.0,1.0,-0.14365309476852417,0,hm3d_narrow_000089,narrow,0.0294,full
40,1.0,0.0,0.0,1.0,-0.13633498549461365,0,hm3d_narrow_000040,narrow,0.0426,full
34,1.0,0.0,0.0,1.0,-0.13604290783405304,0,hm3d_narrow_000083,narrow,0.0211,no_recovery
41,1.0,0.0,0.0,1.0,-0.13532677292823792,0,hm3d_narrow_000078,narrow,0.0401,no_recovery
50,1.0,0.0,0.0,1.0,-0.14604830741882324,0,hm3d_narrow_000086,narrow,0.0096,no_recovery
66,1.0,0.0,0.0,1.0,-0.15226978063583374,0,hm3d_narrow_000140,narrow,0.0217,no_recovery
113,1.0,0.0,0.0,1.0,-0.11050092428922653,0,hm3d_narrow_000147,narrow,0.0089,no_recovery
67,1.0,0.0,0.0,1.0,-0.13601893186569214,0,hm3d_narrow_000143,narrow,0.0335,no_recovery
51,1.0,0.0,0.0,1.0,-0.15152068436145782,0,hm3d_narrow_000138,narrow,0.0062,no_recovery
36,1.0,0.0,0.0,1.0,-0.16045428812503815,0,hm3d_narrow_000137,narrow,0.0475,no_recovery
41,1.0,0.0,0.0,1.0,-0.1423257738351822,0,hm3d_narrow_000132,narrow,0.0106,no_recovery
30,1.0,0.0,0.0,1.0,-0.0974525734782219,0,hm3d_narrow_000053,narrow,0.0264,no_recovery
43,1.0,0.0,0.0,1.0,-0.09826651215553284,0,hm3d_narrow_000018,narrow,0.0311,no_recovery
28,1.0,0.0,0.0,1.0,-0.14031605422496796,0,hm3d_narrow_000019,narrow,0.0206,no_recovery
46,1.0,0.0,0.0,1.0,-0.11589036136865616,0,hm3d_narrow_000020,narrow,0.0352,no_recovery
103,1.0,0.0,0.0,1.0,-0.1430247724056244,0,hm3d_narrow_000093,narrow,0.0124,no_recovery
32,1.0,0.0,0.0,1.0,-0.15970678627490997,0,hm3d_narrow_000091,narrow,0.0182,no_recovery
52,1.0,0.0,0.0,1.0,-0.1409216672182083,0,hm3d_narrow_000092,narrow,0.0089,no_recovery
99,1.0,0.0,0.0,1.0,-0.13624876737594604,0,hm3d_narrow_000010,narrow,0.0438,no_recovery
45,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,no_recovery
53,1.0,0.0,0.0,1.0,-0.09559742361307144,0,hm3d_narrow_000076,narrow,0.0161,no_recovery
32,1.0,0.0,0.0,1.0,-0.1184815987944603,0,hm3d_narrow_000077,narrow,0.0221,no_recovery
59,1.0,0.0,0.0,1.0,-0.14672034978866577,0,hm3d_narrow_000129,narrow,0.0299,no_recovery
56,1.0,0.0,0.0,1.0,-0.10517051815986633,0,hm3d_narrow_000115,narrow,0.0294,no_recovery
34,1.0,0.0,0.0,1.0,-0.14365309476852417,0,hm3d_narrow_000089,narrow,0.0294,no_recovery
40,1.0,0.0,0.0,1.0,-0.13633498549461365,0,hm3d_narrow_000040,narrow,0.0426,no_recovery
34,1.0,0.0,0.0,1.0,-0.1360427886247635,0,hm3d_narrow_000083,narrow,0.0211,no_alignment
41,1.0,0.0,0.0,1.0,-0.13532677292823792,0,hm3d_narrow_000078,narrow,0.0401,no_alignment
50,1.0,0.0,0.0,1.0,-0.14604836702346802,0,hm3d_narrow_000086,narrow,0.0096,no_alignment
66,1.0,0.0,0.0,1.0,-0.15226978063583374,0,hm3d_narrow_000140,narrow,0.0217,no_alignment
113,1.0,0.0,0.0,1.0,-0.11050092428922653,0,hm3d_narrow_000147,narrow,0.0089,no_alignment
67,1.0,0.0,0.0,1.0,-0.1360190510749817,0,hm3d_narrow_000143,narrow,0.0335,no_alignment
51,1.0,0.0,0.0,1.0,-0.15152068436145782,0,hm3d_narrow_000138,narrow,0.0062,no_alignment
36,1.0,0.0,0.0,1.0,-0.16045428812503815,0,hm3d_narrow_000137,narrow,0.0475,no_alignment
41,1.0,0.0,0.0,1.0,-0.1423257738351822,0,hm3d_narrow_000132,narrow,0.0106,no_alignment
30,1.0,0.0,0.0,1.0,-0.0974525734782219,0,hm3d_narrow_000053,narrow,0.0264,no_alignment
43,1.0,0.0,0.0,1.0,-0.09826651215553284,0,hm3d_narrow_000018,narrow,0.0311,no_alignment
28,1.0,0.0,0.0,1.0,-0.14031605422496796,0,hm3d_narrow_000019,narrow,0.0206,no_alignment
46,1.0,0.0,0.0,1.0,-0.11589036136865616,0,hm3d_narrow_000020,narrow,0.0352,no_alignment
103,1.0,0.0,0.0,1.0,-0.1430247724056244,0,hm3d_narrow_000093,narrow,0.0124,no_alignment
32,1.0,0.0,0.0,1.0,-0.1597066968679428,0,hm3d_narrow_000091,narrow,0.0182,no_alignment
52,1.0,0.0,0.0,1.0,-0.1409216672182083,0,hm3d_narrow_000092,narrow,0.0089,no_alignment
99,1.0,0.0,0.0,1.0,-0.13625182211399078,0,hm3d_narrow_000010,narrow,0.0438,no_alignment
45,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,no_alignment
53,1.0,0.0,0.0,1.0,-0.09559788554906845,0,hm3d_narrow_000076,narrow,0.0161,no_alignment
32,1.0,0.0,0.0,1.0,-0.1184815987944603,0,hm3d_narrow_000077,narrow,0.0221,no_alignment
59,1.0,0.0,0.0,1.0,-0.14672034978866577,0,hm3d_narrow_000129,narrow,0.0299,no_alignment
56,1.0,0.0,0.0,1.0,-0.10517051815986633,0,hm3d_narrow_000115,narrow,0.0294,no_alignment
34,1.0,0.0,0.0,1.0,-0.14365309476852417,0,hm3d_narrow_000089,narrow,0.0294,no_alignment
40,1.0,0.0,0.0,1.0,-0.13633498549461365,0,hm3d_narrow_000040,narrow,0.0426,no_alignment
34,1.0,0.0,0.0,1.0,-0.1360427886247635,0,hm3d_narrow_000083,narrow,0.0211,no_heading_alignment
41,1.0,0.0,0.0,1.0,-0.13532677292823792,0,hm3d_narrow_000078,narrow,0.0401,no_heading_alignment
50,1.0,0.0,0.0,1.0,-0.1460483819246292,0,hm3d_narrow_000086,narrow,0.0096,no_heading_alignment
66,1.0,0.0,0.0,1.0,-0.15226978063583374,0,hm3d_narrow_000140,narrow,0.0217,no_heading_alignment
113,1.0,0.0,0.0,1.0,-0.11050092428922653,0,hm3d_narrow_000147,narrow,0.0089,no_heading_alignment
67,1.0,0.0,0.0,1.0,-0.1360190510749817,0,hm3d_narrow_000143,narrow,0.0335,no_heading_alignment
51,1.0,0.0,0.0,1.0,-0.15152068436145782,0,hm3d_narrow_000138,narrow,0.0062,no_heading_alignment
36,1.0,0.0,0.0,1.0,-0.16045428812503815,0,hm3d_narrow_000137,narrow,0.0475,no_heading_alignment
41,1.0,0.0,0.0,1.0,-0.1423257738351822,0,hm3d_narrow_000132,narrow,0.0106,no_heading_alignment
30,1.0,0.0,0.0,1.0,-0.0974525734782219,0,hm3d_narrow_000053,narrow,0.0264,no_heading_alignment
43,1.0,0.0,0.0,1.0,-0.09826651215553284,0,hm3d_narrow_000018,narrow,0.0311,no_heading_alignment
28,1.0,0.0,0.0,1.0,-0.14031605422496796,0,hm3d_narrow_000019,narrow,0.0206,no_heading_alignment
46,1.0,0.0,0.0,1.0,-0.11589036136865616,0,hm3d_narrow_000020,narrow,0.0352,no_heading_alignment
103,1.0,0.0,0.0,1.0,-0.1430247724056244,0,hm3d_narrow_000093,narrow,0.0124,no_heading_alignment
32,1.0,0.0,0.0,1.0,-0.1597066968679428,0,hm3d_narrow_000091,narrow,0.0182,no_heading_alignment
52,1.0,0.0,0.0,1.0,-0.1409216672182083,0,hm3d_narrow_000092,narrow,0.0089,no_heading_alignment
99,1.0,0.0,0.0,1.0,-0.13624721765518188,0,hm3d_narrow_000010,narrow,0.0438,no_heading_alignment
45,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,no_heading_alignment
53,1.0,0.0,0.0,1.0,-0.09559857100248337,0,hm3d_narrow_000076,narrow,0.0161,no_heading_alignment
32,1.0,0.0,0.0,1.0,-0.1184815987944603,0,hm3d_narrow_000077,narrow,0.0221,no_heading_alignment
59,1.0,0.0,0.0,1.0,-0.14672034978866577,0,hm3d_narrow_000129,narrow,0.0299,no_heading_alignment
56,1.0,0.0,0.0,1.0,-0.10517051815986633,0,hm3d_narrow_000115,narrow,0.0294,no_heading_alignment
34,1.0,0.0,0.0,1.0,-0.14365309476852417,0,hm3d_narrow_000089,narrow,0.0294,no_heading_alignment
40,1.0,0.0,0.0,1.0,-0.13633498549461365,0,hm3d_narrow_000040,narrow,0.0426,no_heading_alignment
34,1.0,0.0,0.0,1.0,-0.1360427886247635,0,hm3d_narrow_000083,narrow,0.0211,no_lateral_alignment
41,1.0,0.0,0.0,1.0,-0.13532677292823792,0,hm3d_narrow_000078,narrow,0.0401,no_lateral_alignment
50,1.0,0.0,0.0,1.0,-0.14604830741882324,0,hm3d_narrow_000086,narrow,0.0096,no_lateral_alignment
66,1.0,0.0,0.0,1.0,-0.15226978063583374,0,hm3d_narrow_000140,narrow,0.0217,no_lateral_alignment
113,1.0,0.0,0.0,1.0,-0.11050092428922653,0,hm3d_narrow_000147,narrow,0.0089,no_lateral_alignment
67,1.0,0.0,0.0,1.0,-0.13601869344711304,0,hm3d_narrow_000143,narrow,0.0335,no_lateral_alignment
51,1.0,0.0,0.0,1.0,-0.15152068436145782,0,hm3d_narrow_000138,narrow,0.0062,no_lateral_alignment
36,1.0,0.0,0.0,1.0,-0.16045421361923218,0,hm3d_narrow_000137,narrow,0.0475,no_lateral_alignment
41,1.0,0.0,0.0,1.0,-0.1423257738351822,0,hm3d_narrow_000132,narrow,0.0106,no_lateral_alignment
30,1.0,0.0,0.0,1.0,-0.0974525734782219,0,hm3d_narrow_000053,narrow,0.0264,no_lateral_alignment
43,1.0,0.0,0.0,1.0,-0.09826651215553284,0,hm3d_narrow_000018,narrow,0.0311,no_lateral_alignment
28,1.0,0.0,0.0,1.0,-0.14031605422496796,0,hm3d_narrow_000019,narrow,0.0206,no_lateral_alignment
46,1.0,0.0,0.0,1.0,-0.11589036136865616,0,hm3d_narrow_000020,narrow,0.0352,no_lateral_alignment
103,1.0,0.0,0.0,1.0,-0.1430247724056244,0,hm3d_narrow_000093,narrow,0.0124,no_lateral_alignment
32,1.0,0.0,0.0,1.0,-0.1597066968679428,0,hm3d_narrow_000091,narrow,0.0182,no_lateral_alignment
52,1.0,0.0,0.0,1.0,-0.1409216672182083,0,hm3d_narrow_000092,narrow,0.0089,no_lateral_alignment
99,1.0,0.0,0.0,1.0,-0.13625182211399078,0,hm3d_narrow_000010,narrow,0.0438,no_lateral_alignment
45,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,no_lateral_alignment
53,1.0,0.0,0.0,1.0,-0.0955977588891983,0,hm3d_narrow_000076,narrow,0.0161,no_lateral_alignment
32,1.0,0.0,0.0,1.0,-0.1184815987944603,0,hm3d_narrow_000077,narrow,0.0221,no_lateral_alignment
59,1.0,0.0,0.0,1.0,-0.14672034978866577,0,hm3d_narrow_000129,narrow,0.0299,no_lateral_alignment
56,1.0,0.0,0.0,1.0,-0.10517051815986633,0,hm3d_narrow_000115,narrow,0.0294,no_lateral_alignment
34,1.0,0.0,0.0,1.0,-0.14365309476852417,0,hm3d_narrow_000089,narrow,0.0294,no_lateral_alignment
40,1.0,0.0,0.0,1.0,-0.13633498549461365,0,hm3d_narrow_000040,narrow,0.0426,no_lateral_alignment
