steps,success,collision,stuck,near_collision,min_clearance,recover_triggers,episode_id,difficulty,body_margin,heading_perturb_deg,variant
37,1.0,0.0,0.0,1.0,-0.13338011503219604,0,hm3d_narrow_000083,narrow,0.0211,60.0,full
44,1.0,0.0,0.0,1.0,-0.13384658098220825,0,hm3d_narrow_000078,narrow,0.0401,60.0,full
54,1.0,0.0,0.0,1.0,-0.14808444678783417,0,hm3d_narrow_000086,narrow,0.0096,60.0,full
69,1.0,0.0,0.0,1.0,-0.15160785615444183,0,hm3d_narrow_000140,narrow,0.0217,60.0,full
116,1.0,0.0,0.0,1.0,-0.11001231521368027,0,hm3d_narrow_000147,narrow,0.0089,60.0,full
70,1.0,0.0,0.0,1.0,-0.13530495762825012,0,hm3d_narrow_000143,narrow,0.0335,60.0,full
54,1.0,0.0,0.0,1.0,-0.14954045414924622,0,hm3d_narrow_000138,narrow,0.0062,60.0,full
39,1.0,0.0,0.0,1.0,-0.15959051251411438,0,hm3d_narrow_000137,narrow,0.0475,60.0,full
45,1.0,0.0,0.0,1.0,-0.1467541754245758,0,hm3d_narrow_000132,narrow,0.0106,60.0,full
33,1.0,0.0,0.0,1.0,-0.09736857563257217,0,hm3d_narrow_000053,narrow,0.0264,60.0,full
46,1.0,0.0,0.0,1.0,-0.12438641488552094,0,hm3d_narrow_000018,narrow,0.0311,60.0,full
31,1.0,0.0,0.0,1.0,-0.14045464992523193,0,hm3d_narrow_000019,narrow,0.0206,60.0,full
50,1.0,0.0,0.0,1.0,-0.11444646865129471,0,hm3d_narrow_000020,narrow,0.0352,60.0,full
106,1.0,0.0,0.0,1.0,-0.1432369500398636,0,hm3d_narrow_000093,narrow,0.0124,60.0,full
35,1.0,0.0,0.0,1.0,-0.15828849375247955,0,hm3d_narrow_000091,narrow,0.0182,60.0,full
55,1.0,0.0,0.0,1.0,-0.1413266658782959,0,hm3d_narrow_000092,narrow,0.0089,60.0,full
102,1.0,0.0,0.0,1.0,-0.1360306590795517,0,hm3d_narrow_000010,narrow,0.0438,60.0,full
48,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,60.0,full
56,1.0,0.0,0.0,1.0,-0.1457144021987915,0,hm3d_narrow_000076,narrow,0.0161,60.0,full
35,1.0,0.0,0.0,1.0,-0.12998245656490326,0,hm3d_narrow_000077,narrow,0.0221,60.0,full
62,1.0,0.0,0.0,1.0,-0.14688000082969666,0,hm3d_narrow_000129,narrow,0.0299,60.0,full
59,1.0,0.0,0.0,1.0,-0.10590027272701263,0,hm3d_narrow_000115,narrow,0.0294,60.0,full
38,1.0,0.0,0.0,1.0,-0.1471787691116333,0,hm3d_narrow_000089,narrow,0.0294,60.0,full
44,1.0,0.0,0.0,1.0,-0.13830839097499847,0,hm3d_narrow_000040,narrow,0.0426,60.0,full
37,1.0,0.0,0.0,1.0,-0.13338011503219604,0,hm3d_narrow_000083,narrow,0.0211,60.0,no_recovery
44,1.0,0.0,0.0,1.0,-0.13384658098220825,0,hm3d_narrow_000078,narrow,0.0401,60.0,no_recovery
54,1.0,0.0,0.0,1.0,-0.14808444678783417,0,hm3d_narrow_000086,narrow,0.0096,60.0,no_recovery
69,1.0,0.0,0.0,1.0,-0.15160785615444183,0,hm3d_narrow_000140,narrow,0.0217,60.0,no_recovery
116,1.0,0.0,0.0,1.0,-0.11001231521368027,0,hm3d_narrow_000147,narrow,0.0089,60.0,no_recovery
70,1.0,0.0,0.0,1.0,-0.13530495762825012,0,hm3d_narrow_000143,narrow,0.0335,60.0,no_recovery
54,1.0,0.0,0.0,1.0,-0.14954045414924622,0,hm3d_narrow_000138,narrow,0.0062,60.0,no_recovery
39,1.0,0.0,0.0,1.0,-0.15959051251411438,0,hm3d_narrow_000137,narrow,0.0475,60.0,no_recovery
45,1.0,0.0,0.0,1.0,-0.1467541754245758,0,hm3d_narrow_000132,narrow,0.0106,60.0,no_recovery
33,1.0,0.0,0.0,1.0,-0.09736857563257217,0,hm3d_narrow_000053,narrow,0.0264,60.0,no_recovery
46,1.0,0.0,0.0,1.0,-0.12438641488552094,0,hm3d_narrow_000018,narrow,0.0311,60.0,no_recovery
31,1.0,0.0,0.0,1.0,-0.14045464992523193,0,hm3d_narrow_000019,narrow,0.0206,60.0,no_recovery
50,1.0,0.0,0.0,1.0,-0.11444646865129471,0,hm3d_narrow_000020,narrow,0.0352,60.0,no_recovery
106,1.0,0.0,0.0,1.0,-0.1432369500398636,0,hm3d_narrow_000093,narrow,0.0124,60.0,no_recovery
35,1.0,0.0,0.0,1.0,-0.15828849375247955,0,hm3d_narrow_000091,narrow,0.0182,60.0,no_recovery
55,1.0,0.0,0.0,1.0,-0.1413266658782959,0,hm3d_narrow_000092,narrow,0.0089,60.0,no_recovery
102,1.0,0.0,0.0,1.0,-0.1360306590795517,0,hm3d_narrow_000010,narrow,0.0438,60.0,no_recovery
48,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,60.0,no_recovery
56,1.0,0.0,0.0,1.0,-0.1457144021987915,0,hm3d_narrow_000076,narrow,0.0161,60.0,no_recovery
35,1.0,0.0,0.0,1.0,-0.12998245656490326,0,hm3d_narrow_000077,narrow,0.0221,60.0,no_recovery
62,1.0,0.0,0.0,1.0,-0.14688000082969666,0,hm3d_narrow_000129,narrow,0.0299,60.0,no_recovery
59,1.0,0.0,0.0,1.0,-0.10590027272701263,0,hm3d_narrow_000115,narrow,0.0294,60.0,no_recovery
