episode_id,scene_id,steps,success,collision,stuck,rejected,near_collision,min_clearance,recover_triggers,memory_writes
hm3d_narrow_000026,00812-mma8eWq3nNQ,45,1.0,0.0,0.0,0.0,1.0,-0.08735565096139908,0,0
hm3d_narrow_000027,00812-mma8eWq3nNQ,42,1.0,0.0,0.0,0.0,1.0,-0.10002865642309189,0,0
hm3d_narrow_000025,00812-mma8eWq3nNQ,87,1.0,0.0,0.0,0.0,1.0,-0.13317789137363434,0,0
hm3d_narrow_000029,00812-mma8eWq3nNQ,58,1.0,0.0,0.0,0.0,1.0,-0.12820827960968018,0,0
hm3d_narrow_000022,00812-mma8eWq3nNQ,46,1.0,0.0,0.0,0.0,1.0,-0.06151203811168671,0,0
hm3d_narrow_000021,00812-mma8eWq3nNQ,28,1.0,0.0,0.0,0.0,1.0,-0.1203758642077446,0,0
hm3d_narrow_000024,00812-mma8eWq3nNQ,53,1.0,0.0,0.0,0.0,1.0,-0.037426214665174484,0,0
hm3d_narrow_000023,00812-mma8eWq3nNQ,60,1.0,0.0,0.0,0.0,1.0,-0.12742480635643005,0,0
hm3d_narrow_000020,00812-mma8eWq3nNQ,43,1.0,0.0,0.0,0.0,1.0,-0.050922803580760956,0,0
hm3d_narrow_000028,00812-mma8eWq3nNQ,34,1.0,0.0,0.0,0.0,1.0,-0.11822845786809921,0,0
hm3d_narrow_000008,00832-qyAac8rV8Zk,28,1.0,0.0,0.0,0.0,1.0,-0.048867832869291306,0,0
hm3d_narrow_000004,00832-qyAac8rV8Zk,27,1.0,0.0,0.0,0.0,1.0,-0.10884011536836624,0,0
hm3d_narrow_000005,00832-qyAac8rV8Zk,60,1.0,0.0,0.0,0.0,1.0,-0.10511644184589386,0,0
hm3d_narrow_000001,00832-qyAac8rV8Zk,42,1.0,0.0,0.0,0.0,1.0,-0.09715261310338974,0,0
hm3d_narrow_000009,00832-qyAac8rV8Zk,32,1.0,0.0,0.0,0.0,1.0,-0.1217389702796936,0,0
