episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,rejected,near_collision,min_clearance,recover_triggers,memory_writes
hm3d_narrow_000026,00812-mma8eWq3nNQ,narrow,0.0701,500,0.0,0.0,0.0,0.0,1.0,-0.1635868102312088,0,0
hm3d_narrow_000027,00812-mma8eWq3nNQ,narrow,0.0853,500,0.0,0.0,0.0,0.0,1.0,-0.16582240164279938,0,0
hm3d_narrow_000025,00812-mma8eWq3nNQ,normal,0.1656,500,0.0,0.0,0.0,0.0,1.0,-0.17058566212654114,0,0
hm3d_narrow_000029,00812-mma8eWq3nNQ,narrow,0.1041,500,0.0,0.0,0.0,0.0,1.0,-0.15298573672771454,0,0
hm3d_narrow_000022,00812-mma8eWq3nNQ,narrow,0.0352,500,0.0,0.0,0.0,0.0,1.0,-0.16372595727443695,0,0
hm3d_narrow_000021,00812-mma8eWq3nNQ,narrow,0.0206,500,0.0,0.0,0.0,0.0,1.0,-0.16641724109649658,0,0
hm3d_narrow_000024,00812-mma8eWq3nNQ,wide,0.4601,500,0.0,0.0,0.0,0.0,1.0,-0.1597951352596283,0,0
hm3d_narrow_000023,00812-mma8eWq3nNQ,normal,0.2256,500,0.0,0.0,0.0,0.0,1.0,-0.17058412730693817,0,0
hm3d_narrow_000020,00812-mma8eWq3nNQ,narrow,0.0311,500,0.0,0.0,0.0,0.0,1.0,-0.14643558859825134,0,0
hm3d_narrow_000028,00812-mma8eWq3nNQ,narrow,0.0663,500,0.0,0.0,0.0,0.0,1.0,-0.1658489853143692,0,0
hm3d_narrow_000008,00832-qyAac8rV8Zk,narrow,0.0649,500,0.0,0.0,0.0,0.0,1.0,-0.17067009210586548,0,0
hm3d_narrow_000004,00832-qyAac8rV8Zk,normal,0.3876,500,0.0,0.0,0.0,0.0,1.0,-0.17052699625492096,0,0
hm3d_narrow_000005,00832-qyAac8rV8Zk,normal,0.3156,500,0.0,0.0,0.0,0.0,1.0,-0.17069563269615173,0,0
hm3d_narrow_000001,00832-qyAac8rV8Zk,normal,0.2931,500,0.0,0.0,0.0,0.0,1.0,-0.1697816103696823,0,0
hm3d_narrow_000009,00832-qyAac8rV8Zk,narrow,0.1024,500,0.0,0.0,0.0,0.0,1.0,-0.16828644275665283,0,0
hm3d_narrow_000002,00832-qyAac8rV8Zk,narrow,0.0511,500,0.0,0.0,0.0,0.0,1.0,-0.16868358850479126,0,0
hm3d_narrow_000007,00832-qyAac8rV8Zk,normal,0.2711,500,1.0,0.0,0.0,0.0,1.0,-0.16909779608249664,0,0
hm3d_narrow_000006,00832-qyAac8rV8Zk,narrow,0.0592,500,0.0,0.0,0.0,0.0,1.0,-0.16979967057704926,0,0
hm3d_narrow_000003,00832-qyAac8rV8Zk,narrow,0.109,500,0.0,0.0,0.0,0.0,1.0,-0.16650526225566864,0,0
hm3d_narrow_000000,00832-qyAac8rV8Zk,wide,0.6247,500,0.0,0.0,0.0,0.0,1.0,-0.17039833962917328,0,0
hm3d_narrow_000011,00879-7Ukhou1GxYi,narrow,0.0438,500,0.0,0.0,0.0,0.0,1.0,-0.11310068517923355,0,0
hm3d_narrow_000010,00879-7Ukhou1GxYi,narrow,0.0772,500,0.0,0.0,0.0,0.0,1.0,-0.1701219379901886,0,0
