episode_id,body_margin,delta_d,passage_width,difficulty,success,steps
hm3d_narrow_000026,0.0701,0.1402,0.5601,narrow,0.0,500
hm3d_narrow_000027,0.0853,0.1706,0.5905,narrow,0.0,500
hm3d_narrow_000025,0.1656,0.3312,0.7511,normal,0.0,500
hm3d_narrow_000029,0.1041,0.2082,0.6283,narrow,0.0,500
hm3d_narrow_000022,0.0352,0.0704,0.4903,narrow,0.0,500
hm3d_narrow_000021,0.0206,0.0412,0.4612,narrow,0.0,500
hm3d_narrow_000024,0.4601,0.9202,1.3403,wide,0.0,500
hm3d_narrow_000023,0.2256,0.4512,0.8713,normal,0.0,500
hm3d_narrow_000020,0.0311,0.0622,0.4821,narrow,0.0,500
hm3d_narrow_000028,0.0663,0.1326,0.5526,narrow,0.0,500
hm3d_narrow_000008,0.0649,0.1298,0.5498,narrow,0.0,500
hm3d_narrow_000004,0.3876,0.7752,1.1953,normal,0.0,500
hm3d_narrow_000005,0.3156,0.6312,1.0512,normal,0.0,500
hm3d_narrow_000001,0.2931,0.5862,1.0063,normal,1.0,500
hm3d_narrow_000009,0.1024,0.2048,0.6247,narrow,0.0,500
hm3d_narrow_000002,0.0511,0.1022,0.5222,narrow,0.0,500
hm3d_narrow_000007,0.2711,0.5422,0.9622,normal,0.0,500
hm3d_narrow_000006,0.0592,0.1184,0.5383,narrow,0.0,500
hm3d_narrow_000003,0.109,0.218,0.638,narrow,0.0,500
hm3d_narrow_000000,0.6247,1.2494,1.6693,wide,0.0,500
hm3d_narrow_000011,0.0438,0.0876,0.5076,narrow,0.0,500
hm3d_narrow_000010,0.0772,0.1544,0.5745,narrow,0.0,500
hm3d_narrow_000017,0.2182,0.4364,0.8563,normal,0.0,500
hm3d_narrow_000013,0.3149,0.6298,1.0499,normal,0.0,500
hm3d_narrow_000019,0.0709,0.1418,0.5618,narrow,0.0,500
hm3d_narrow_000014,0.3289,0.6578,1.0778,normal,0.0,500
hm3d_narrow_000016,0.2201,0.4402,0.8602,normal,0.0,500
hm3d_narrow_000018,0.0938,0.1876,0.6077,narrow,0.0,500
hm3d_narrow_000015,0.1825,0.365,0.785,normal,0.0,500
hm3d_narrow_000012,0.0107,0.0214,0.4415,narrow,0.0,500
hm3d_narrow_000073,0.1413,0.2826,0.7026,narrow,0.0,500
hm3d_narrow_000071,0.1449,0.2898,0.7098,narrow,0.0,500
hm3d_narrow_000078,0.0161,0.0322,0.4522,narrow,0.0,500
hm3d_narrow_000074,0.1792,0.3584,0.7783,normal,0.0,500
hm3d_narrow_000076,0.1925,0.385,0.8049,normal,0.0,500
hm3d_narrow_000075,0.1531,0.3062,0.7261,normal,0.0,500
hm3d_narrow_000072,0.2783,0.5566,0.9766,normal,0.0,500
hm3d_narrow_000077,0.1221,0.2442,0.6643,narrow,1.0,500
hm3d_narrow_000070,0.1377,0.2754,0.6955,narrow,0.0,500
hm3d_narrow_000079,0.0221,0.0442,0.4641,narrow,0.0,500
hm3d_narrow_000123,0.5214,1.0428,1.4628,wide,1.0,500
hm3d_narrow_000121,0.3339,0.6678,1.0877,normal,0.0,500
hm3d_narrow_000120,0.3395,0.679,1.099,normal,0.0,500
hm3d_narrow_000114,0.3689,0.7378,1.1578,normal,0.0,500
hm3d_narrow_000119,0.3254,0.6508,1.0707,normal,0.0,500
hm3d_narrow_000122,0.3811,0.7622,1.1822,normal,0.0,500
hm3d_narrow_000115,0.3114,0.6228,1.0427,normal,1.0,500
hm3d_narrow_000118,0.1341,0.2682,0.6882,narrow,0.0,500
hm3d_narrow_000116,0.2413,0.4826,0.9026,normal,1.0,500
hm3d_narrow_000117,0.5931,1.1862,1.6063,wide,0.0,500
hm3d_narrow_000097,0.0727,0.1454,0.5654,narrow,0.0,500
hm3d_narrow_000093,0.0456,0.0912,0.5112,narrow,0.0,500
hm3d_narrow_000095,0.0084,0.0168,0.4368,narrow,0.0,500
hm3d_narrow_000092,0.1973,0.3946,0.8145,normal,1.0,500
hm3d_narrow_000098,0.0033,0.0066,0.4266,narrow,0.0,500
hm3d_narrow_000096,0.1307,0.2614,0.6814,narrow,0.0,500
hm3d_narrow_000099,0.0164,0.0328,0.4527,narrow,0.0,500
hm3d_narrow_000094,0.0808,0.1616,0.5816,narrow,0.0,500
hm3d_narrow_000153,0.4393,0.8786,1.2986,wide,0.0,500
hm3d_narrow_000155,0.9153,1.8306,2.2506,wide,0.0,500
hm3d_narrow_000151,0.0217,0.0434,0.4634,narrow,0.0,500
hm3d_narrow_000152,0.0792,0.1584,0.5784,narrow,0.0,500
hm3d_narrow_000150,0.4816,0.9632,1.3831,wide,0.0,500
hm3d_narrow_000156,0.0335,0.067,0.4869,narrow,0.0,500
hm3d_narrow_000154,0.1006,0.2012,0.6213,narrow,0.0,500
hm3d_narrow_000080,0.0401,0.0802,0.5001,narrow,0.0,500
hm3d_narrow_000084,0.1049,0.2098,0.6298,narrow,0.0,500
hm3d_narrow_000082,0.2234,0.4468,0.8669,normal,1.0,500
hm3d_narrow_000087,0.1092,0.2184,0.6385,narrow,0.0,500
hm3d_narrow_000086,0.1245,0.249,0.669,narrow,0.0,500
hm3d_narrow_000081,0.0649,0.1298,0.5498,narrow,0.0,500
hm3d_narrow_000083,0.2244,0.4488,0.8688,normal,1.0,500
hm3d_narrow_000088,0.0096,0.0192,0.4392,narrow,0.0,500
hm3d_narrow_000085,0.0211,0.0422,0.4623,narrow,0.0,500
hm3d_narrow_000089,0.024,0.048,0.4679,narrow,0.0,500
hm3d_narrow_000112,0.2692,0.5384,0.9584,normal,0.0,500
hm3d_narrow_000111,0.0745,0.149,0.5689,narrow,0.0,500
hm3d_narrow_000105,0.3516,0.7032,1.1232,normal,0.0,500
hm3d_narrow_000106,0.3598,0.7196,1.1395,normal,0.0,500
hm3d_narrow_000107,0.0859,0.1718,0.5919,narrow,0.0,500
hm3d_narrow_000113,0.229,0.458,0.878,normal,0.0,500
hm3d_narrow_000108,0.0539,0.1078,0.5278,narrow,0.0,500
hm3d_narrow_000109,0.2586,0.5172,0.9371,normal,0.0,500
hm3d_narrow_000110,0.1979,0.3958,0.8158,normal,0.0,500
hm3d_narrow_000125,0.0602,0.1204,0.5404,narrow,0.0,500
hm3d_narrow_000130,0.1605,0.321,0.741,normal,0.0,500
hm3d_narrow_000128,0.1434,0.2868,0.7069,narrow,1.0,500
hm3d_narrow_000124,0.1318,0.2636,0.6836,narrow,0.0,500
hm3d_narrow_000126,0.1236,0.2472,0.6673,narrow,0.0,500
hm3d_narrow_000127,0.0294,0.0588,0.4788,narrow,0.0,500
