episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,rejected,near_collision,min_clearance,recover_triggers,memory_writes
hm3d_narrow_000083,00874-uSKXQ5fFg6u,narrow,0.0211,500,0.0,0.0,0.0,0.0,1.0,-0.17206738889217377,0,0
hm3d_narrow_000078,00874-uSKXQ5fFg6u,narrow,0.0401,500,0.0,0.0,0.0,0.0,1.0,-0.12801364064216614,0,0
hm3d_narrow_000086,00874-uSKXQ5fFg6u,narrow,0.0096,500,0.0,0.0,0.0,0.0,1.0,-0.16763117909431458,0,0
hm3d_narrow_000140,00897-LEFTm3JecaC,narrow,0.0217,500,1.0,0.0,0.0,0.0,1.0,-0.16676585376262665,0,0
hm3d_narrow_000147,00897-LEFTm3JecaC,narrow,0.0089,500,0.0,0.0,0.0,0.0,1.0,-0.17107558250427246,0,0
hm3d_narrow_000143,00897-LEFTm3JecaC,narrow,0.0335,500,0.0,0.0,0.0,0.0,1.0,-0.16908273100852966,0,0
hm3d_narrow_000138,00853-5cdEh9F2hJL,narrow,0.0062,500,0.0,0.0,0.0,0.0,1.0,-0.16964511573314667,0,0
hm3d_narrow_000137,00853-5cdEh9F2hJL,narrow,0.0475,500,0.0,0.0,0.0,0.0,1.0,-0.17114636301994324,0,0
hm3d_narrow_000132,00853-5cdEh9F2hJL,narrow,0.0106,500,0.0,0.0,0.0,0.0,1.0,-0.166983962059021,0,0
hm3d_narrow_000053,00817-X4qjx5vquwH,narrow,0.0264,500,0.0,0.0,0.0,0.0,1.0,-0.17007219791412354,0,0
hm3d_narrow_000018,00812-mma8eWq3nNQ,narrow,0.0311,500,0.0,0.0,0.0,0.0,1.0,-0.1382284313440323,0,0
hm3d_narrow_000019,00812-mma8eWq3nNQ,narrow,0.0206,500,0.0,0.0,0.0,0.0,1.0,-0.15154896676540375,0,0
hm3d_narrow_000020,00812-mma8eWq3nNQ,narrow,0.0352,500,0.0,0.0,0.0,0.0,1.0,-0.13906562328338623,0,0
hm3d_narrow_000093,00838-kJJyRFXVpx2,narrow,0.0124,500,0.0,0.0,0.0,0.0,1.0,-0.11278272420167923,0,0
hm3d_narrow_000091,00838-kJJyRFXVpx2,narrow,0.0182,500,0.0,0.0,0.0,0.0,1.0,-0.1724282205104828,0,0
hm3d_narrow_000092,00838-kJJyRFXVpx2,narrow,0.0089,500,0.0,0.0,0.0,0.0,1.0,-0.15151172876358032,0,0
hm3d_narrow_000010,00879-7Ukhou1GxYi,narrow,0.0438,500,0.0,0.0,0.0,0.0,1.0,-0.1143355518579483,0,0
hm3d_narrow_000011,00879-7Ukhou1GxYi,narrow,0.0107,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000076,00827-BAbdmeyTvMZ,narrow,0.0161,500,0.0,0.0,0.0,0.0,1.0,-0.16349226236343384,0,0
hm3d_narrow_000077,00827-BAbdmeyTvMZ,narrow,0.0221,500,0.0,0.0,0.0,0.0,1.0,-0.12913408875465393,0,0
hm3d_narrow_000129,00805-SUHsP6z2gcJ,narrow,0.0299,500,0.0,0.0,0.0,0.0,1.0,-0.16553692519664764,0,0
hm3d_narrow_000115,00865-fsQtJ8t3nTf,narrow,0.0294,500,0.0,0.0,0.0,0.0,1.0,-0.14866133034229279,0,0
hm3d_narrow_000089,00845-c3WKCnkEdha,narrow,0.0294,500,0.0,0.0,0.0,0.0,1.0,-0.1659833788871765,0,0
hm3d_narrow_000040,00836-7GAhQPFzMot,narrow,0.0426,500,0.0,0.0,0.0,0.0,1.0,-0.16097237169742584,0,0
