episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,near_collision,min_clearance
hm3d_narrow_000026,00812-mma8eWq3nNQ,narrow,0.0701,500,0.0,0.0,1.0,1.0,-0.1311250776052475
hm3d_narrow_000027,00812-mma8eWq3nNQ,narrow,0.0853,500,0.0,0.0,1.0,1.0,-0.14755012094974518
hm3d_narrow_000025,00812-mma8eWq3nNQ,normal,0.1656,500,0.0,0.0,1.0,1.0,-0.13437388837337494
hm3d_narrow_000029,00812-mma8eWq3nNQ,narrow,0.1041,500,0.0,0.0,1.0,1.0,-0.12860147655010223
hm3d_narrow_000022,00812-mma8eWq3nNQ,narrow,0.0352,500,0.0,0.0,1.0,1.0,-0.14361460506916046
hm3d_narrow_000021,00812-mma8eWq3nNQ,narrow,0.0206,500,0.0,0.0,1.0,1.0,-0.16818146407604218
hm3d_narrow_000024,00812-mma8eWq3nNQ,wide,0.4601,500,0.0,0.0,1.0,1.0,-0.14724865555763245
hm3d_narrow_000023,00812-mma8eWq3nNQ,normal,0.2256,500,0.0,0.0,1.0,1.0,-0.13288253545761108
hm3d_narrow_000020,00812-mma8eWq3nNQ,narrow,0.0311,500,0.0,0.0,1.0,1.0,-0.1555015593767166
hm3d_narrow_000028,00812-mma8eWq3nNQ,narrow,0.0663,500,0.0,0.0,1.0,1.0,-0.15742985904216766
hm3d_narrow_000008,00832-qyAac8rV8Zk,narrow,0.0649,500,0.0,0.0,1.0,1.0,-0.16098254919052124
hm3d_narrow_000004,00832-qyAac8rV8Zk,normal,0.3876,500,0.0,0.0,1.0,1.0,-0.1708042174577713
hm3d_narrow_000005,00832-qyAac8rV8Zk,normal,0.3156,500,0.0,0.0,1.0,1.0,-0.16966202855110168
hm3d_narrow_000001,00832-qyAac8rV8Zk,normal,0.2931,500,0.0,0.0,1.0,1.0,-0.16901996731758118
hm3d_narrow_000009,00832-qyAac8rV8Zk,narrow,0.1024,500,0.0,0.0,1.0,1.0,-0.16996563971042633
hm3d_narrow_000002,00832-qyAac8rV8Zk,narrow,0.0511,500,0.0,0.0,1.0,1.0,-0.1680516004562378
hm3d_narrow_000007,00832-qyAac8rV8Zk,normal,0.2711,500,0.0,0.0,1.0,1.0,-0.17055097222328186
hm3d_narrow_000006,00832-qyAac8rV8Zk,narrow,0.0592,500,0.0,0.0,1.0,1.0,-0.1697825789451599
hm3d_narrow_000003,00832-qyAac8rV8Zk,narrow,0.109,500,0.0,0.0,1.0,1.0,-0.16797766089439392
hm3d_narrow_000000,00832-qyAac8rV8Zk,wide,0.6247,500,0.0,0.0,1.0,1.0,-0.17066127061843872
hm3d_narrow_000011,00879-7Ukhou1GxYi,narrow,0.0438,500,0.0,0.0,1.0,1.0,-0.14183570444583893
hm3d_narrow_000010,00879-7Ukhou1GxYi,narrow,0.0772,500,0.0,0.0,1.0,1.0,-0.15031825006008148
hm3d_narrow_000017,00879-7Ukhou1GxYi,normal,0.2182,500,0.0,0.0,1.0,1.0,-0.12845313549041748
hm3d_narrow_000013,00879-7Ukhou1GxYi,normal,0.3149,500,0.0,0.0,1.0,1.0,-0.18000000715255737
hm3d_narrow_000019,00879-7Ukhou1GxYi,narrow,0.0709,500,0.0,0.0,1.0,1.0,-0.18000000715255737
