method,round,n_passable,n_ff,sr_passable,passable_reject_rate,ff_attempt_rate,ff_reject_rate,wasted_steps_ff
no_memory,1,20,15,0.9,0.0,1.0,0.0,3300
no_memory,2,20,15,0.9,0.0,1.0,0.0,3300
no_memory,3,20,15,0.9,0.0,1.0,0.0,3300
no_memory,4,20,15,0.9,0.0,1.0,0.0,3300
no_memory,5,20,15,0.9,0.0,1.0,0.0,3300
knn_failure_memory,1,20,15,0.9,0.0,0.8667,0.1333,2860
knn_failure_memory,2,20,15,0.85,0.05,0.4,0.6,1320
knn_failure_memory,3,20,15,0.85,0.05,0.2,0.8,660
knn_failure_memory,4,20,15,0.85,0.05,0.2,0.8,660
knn_failure_memory,5,20,15,0.85,0.15,0.0,1.0,0
vanilla_episodic_memory,1,20,15,0.9,0.0,1.0,0.0,3300
vanilla_episodic_memory,2,20,15,0.8,0.15,0.5333,0.4667,1760
vanilla_episodic_memory,3,20,15,0.8,0.15,0.4667,0.5333,1540
vanilla_episodic_memory,4,20,15,0.8,0.15,0.4667,0.5333,1540
vanilla_episodic_memory,5,20,15,0.8,0.2,0.0,1.0,0
geometry_guided_failure_memory,1,20,15,0.9,0.0,0.8,0.2,2640
geometry_guided_failure_memory,2,20,15,0.9,0.0,0.5333,0.4667,1760
geometry_guided_failure_memory,3,20,15,0.9,0.05,0.0,1.0,0
geometry_guided_failure_memory,4,20,15,0.9,0.05,0.0,1.0,0
geometry_guided_failure_memory,5,20,15,0.9,0.05,0.0,1.0,0
