preset,seed,method,n_rounds,n_same_false_feasible,n_transfer_false_feasible,n_similar_feasible,passable_success_rate,passable_false_reject_rate,false_feasible_reject_rate_round1,false_feasible_reject_rate_final_round,wasted_false_feasible_attempts_round1,wasted_false_feasible_attempts_final_round,wasted_false_feasible_steps_round1,wasted_false_feasible_steps_final_round,transfer_reject_rate_on_similar_new_false_feasible,interference_false_reject_rate_on_similar_feasible
paper,0,no_memory,8,40,40,40,0.925,0.0,0.0,0.0,40,40,12000,12000,0.0,0.0
paper,0,local_intra_episode_memory,8,40,40,40,0.925,0.0,0.0,0.0,40,40,12000,12000,0.0,0.0
paper,0,vanilla_episodic_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,0,knn_failure_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,0,geometry_guided_cross_episode_failure_memory,8,40,40,40,0.925,0.0,0.375,1.0,25,0,7500,0,0.9,0.0
paper,1,no_memory,8,40,40,40,0.875,0.0,0.0,0.0,40,40,11792,11792,0.0,0.0
paper,1,local_intra_episode_memory,8,40,40,40,0.875,0.0,0.0,0.0,40,40,11792,11792,0.0,0.0
paper,1,vanilla_episodic_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,1,knn_failure_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,1,geometry_guided_cross_episode_failure_memory,8,40,40,40,0.875,0.0,0.475,1.0,21,0,6300,0,0.775,0.0
paper,2,no_memory,8,40,40,40,0.9,0.0,0.0,0.0,40,40,12000,12000,0.0,0.0
paper,2,local_intra_episode_memory,8,40,40,40,0.9,0.0,0.0,0.0,40,40,12000,12000,0.0,0.0
paper,2,vanilla_episodic_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,2,knn_failure_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,2,geometry_guided_cross_episode_failure_memory,8,40,40,40,0.9,0.0,0.45,1.0,22,0,6600,0,1.0,0.0
paper,3,no_memory,8,40,40,40,0.875,0.0,0.0,0.0,40,40,11790,11790,0.0,0.0
paper,3,local_intra_episode_memory,8,40,40,40,0.875,0.0,0.0,0.0,40,40,11790,11790,0.0,0.0
paper,3,vanilla_episodic_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,3,knn_failure_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,3,geometry_guided_cross_episode_failure_memory,8,40,40,40,0.875,0.0,0.35,1.0,26,0,7800,0,0.975,0.0
paper,4,no_memory,8,40,40,40,0.925,0.0,0.0,0.0,40,40,11780,11780,0.0,0.0
paper,4,local_intra_episode_memory,8,40,40,40,0.925,0.0,0.0,0.0,40,40,11780,11780,0.0,0.0
paper,4,vanilla_episodic_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,4,knn_failure_memory,8,40,40,40,0.0,1.0,0.95,1.0,2,0,600,0,1.0,1.0
paper,4,geometry_guided_cross_episode_failure_memory,8,40,40,40,0.925,0.0,0.475,1.0,21,0,6300,0,1.0,0.0
