condition,round,n_passable,n_ff,sr_passable,sr_ff,attempt_rate_ff,reject_rate_ff,wasted_steps_ff,ff_attempts,ff_rejects
cross_memory,1,60,40,0.9,0.0,0.625,0.375,7500,25,15
cross_memory,2,60,40,0.9,0.0,0.075,0.925,900,3,37
cross_memory,3,60,40,0.9,0.0,0.0,1.0,0,0,40
cross_memory,4,60,40,0.9,0.0,0.0,1.0,0,0,40
cross_memory,5,60,40,0.9,0.0,0.0,1.0,0,0,40
cross_memory,6,60,40,0.9,0.0,0.0,1.0,0,0,40
cross_memory,7,60,40,0.9,0.0,0.0,1.0,0,0,40
cross_memory,8,60,40,0.9,0.0,0.0,1.0,0,0,40
local_memory,1,60,40,0.9,0.0,1.0,0.0,12000,40,0
local_memory,2,60,40,0.9,0.0,1.0,0.0,12000,40,0
local_memory,3,60,40,0.9,0.0,1.0,0.0,12000,40,0
local_memory,4,60,40,0.9,0.0,1.0,0.0,12000,40,0
local_memory,5,60,40,0.9,0.0,1.0,0.0,12000,40,0
local_memory,6,60,40,0.9,0.0,1.0,0.0,12000,40,0
local_memory,7,60,40,0.9,0.0,1.0,0.0,12000,40,0
local_memory,8,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,1,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,2,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,3,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,4,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,5,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,6,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,7,60,40,0.9,0.0,1.0,0.0,12000,40,0
no_memory,8,60,40,0.9,0.0,1.0,0.0,12000,40,0
