episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,rejected,near_collision,min_clearance,recover_triggers,memory_writes
hm3d_narrow_000026,00812-mma8eWq3nNQ,narrow,0.0701,500,0.0,0.0,0.0,0.0,1.0,-0.13427191972732544,0,0
hm3d_narrow_000027,00812-mma8eWq3nNQ,narrow,0.0853,500,0.0,0.0,0.0,0.0,1.0,-0.12880602478981018,0,0
hm3d_narrow_000025,00812-mma8eWq3nNQ,normal,0.1656,500,0.0,0.0,0.0,0.0,1.0,-0.1345064491033554,0,0
hm3d_narrow_000029,00812-mma8eWq3nNQ,narrow,0.1041,500,0.0,0.0,0.0,0.0,1.0,-0.17152531445026398,0,0
hm3d_narrow_000022,00812-mma8eWq3nNQ,narrow,0.0352,500,0.0,0.0,0.0,0.0,1.0,-0.13906562328338623,0,0
hm3d_narrow_000021,00812-mma8eWq3nNQ,narrow,0.0206,500,0.0,0.0,0.0,0.0,1.0,-0.15154896676540375,0,0
hm3d_narrow_000024,00812-mma8eWq3nNQ,wide,0.4601,500,0.0,0.0,0.0,0.0,1.0,-0.12941448390483856,0,0
hm3d_narrow_000023,00812-mma8eWq3nNQ,normal,0.2256,500,1.0,0.0,0.0,0.0,1.0,-0.1648552417755127,0,0
hm3d_narrow_000020,00812-mma8eWq3nNQ,narrow,0.0311,500,0.0,0.0,0.0,0.0,1.0,-0.1382284313440323,0,0
hm3d_narrow_000028,00812-mma8eWq3nNQ,narrow,0.0663,500,0.0,0.0,0.0,0.0,1.0,-0.16438496112823486,0,0
hm3d_narrow_000008,00832-qyAac8rV8Zk,narrow,0.0649,500,0.0,0.0,0.0,0.0,1.0,-0.14646165072917938,0,0
hm3d_narrow_000004,00832-qyAac8rV8Zk,normal,0.3876,500,0.0,0.0,0.0,0.0,1.0,-0.13499051332473755,0,0
hm3d_narrow_000005,00832-qyAac8rV8Zk,normal,0.3156,500,0.0,0.0,0.0,0.0,1.0,-0.16848449409008026,0,0
hm3d_narrow_000001,00832-qyAac8rV8Zk,normal,0.2931,500,0.0,0.0,0.0,0.0,1.0,-0.1392987221479416,0,0
hm3d_narrow_000009,00832-qyAac8rV8Zk,narrow,0.1024,500,0.0,0.0,0.0,0.0,1.0,-0.14956487715244293,0,0
hm3d_narrow_000002,00832-qyAac8rV8Zk,narrow,0.0511,500,0.0,0.0,0.0,0.0,1.0,-0.13790363073349,0,0
hm3d_narrow_000007,00832-qyAac8rV8Zk,normal,0.2711,500,1.0,0.0,0.0,0.0,1.0,-0.16927886009216309,0,0
hm3d_narrow_000006,00832-qyAac8rV8Zk,narrow,0.0592,500,0.0,0.0,0.0,0.0,1.0,-0.15136699378490448,0,0
hm3d_narrow_000003,00832-qyAac8rV8Zk,narrow,0.109,500,0.0,0.0,0.0,0.0,1.0,-0.16336512565612793,0,0
hm3d_narrow_000000,00832-qyAac8rV8Zk,wide,0.6247,500,0.0,0.0,0.0,0.0,1.0,-0.10794677585363388,0,0
hm3d_narrow_000011,00879-7Ukhou1GxYi,narrow,0.0438,500,0.0,0.0,0.0,0.0,1.0,-0.1143355518579483,0,0
hm3d_narrow_000010,00879-7Ukhou1GxYi,narrow,0.0772,500,0.0,0.0,0.0,0.0,1.0,-0.1665157526731491,0,0
hm3d_narrow_000017,00879-7Ukhou1GxYi,normal,0.2182,500,0.0,0.0,0.0,0.0,1.0,-0.161333829164505,0,0
hm3d_narrow_000013,00879-7Ukhou1GxYi,normal,0.3149,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000019,00879-7Ukhou1GxYi,narrow,0.0709,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000014,00879-7Ukhou1GxYi,normal,0.3289,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000016,00879-7Ukhou1GxYi,normal,0.2201,500,0.0,0.0,0.0,0.0,1.0,-0.14790409803390503,0,0
hm3d_narrow_000018,00879-7Ukhou1GxYi,narrow,0.0938,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000015,00879-7Ukhou1GxYi,normal,0.1825,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000012,00879-7Ukhou1GxYi,narrow,0.0107,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000073,00827-BAbdmeyTvMZ,narrow,0.1413,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000071,00827-BAbdmeyTvMZ,narrow,0.1449,500,0.0,0.0,0.0,0.0,1.0,-0.15984775125980377,0,0
hm3d_narrow_000078,00827-BAbdmeyTvMZ,narrow,0.0161,500,0.0,0.0,0.0,0.0,1.0,-0.16349226236343384,0,0
hm3d_narrow_000074,00827-BAbdmeyTvMZ,normal,0.1792,500,0.0,0.0,0.0,0.0,1.0,-0.08870921283960342,0,0
hm3d_narrow_000076,00827-BAbdmeyTvMZ,normal,0.1925,500,0.0,0.0,0.0,0.0,1.0,-0.13846445083618164,0,0
hm3d_narrow_000075,00827-BAbdmeyTvMZ,normal,0.1531,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000072,00827-BAbdmeyTvMZ,normal,0.2783,500,0.0,0.0,0.0,0.0,1.0,-0.12374626100063324,0,0
