method,round,n_passable,n_false_feasible,passable_success_rate,passable_false_reject_rate,false_feasible_reject_rate,false_feasible_attempt_rate,wasted_steps_false_feasible,memory_retrieval_precision,passable_rejections,false_feasible_rejections
no_memory,1,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
no_memory,2,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
no_memory,3,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
no_memory,4,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
no_memory,5,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
local_intra_episode_memory,1,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
local_intra_episode_memory,2,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
local_intra_episode_memory,3,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
local_intra_episode_memory,4,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
local_intra_episode_memory,5,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
knn_failure_memory,1,20,15,0.9,0.0,0.13333333333333333,0.8666666666666667,2860,1.0,0,2
knn_failure_memory,2,20,15,0.85,0.05,0.6,0.4,1320,0.9,1,9
knn_failure_memory,3,20,15,0.85,0.05,0.8,0.2,660,0.9230769230769231,1,12
knn_failure_memory,4,20,15,0.85,0.05,0.8,0.2,660,0.9230769230769231,1,12
knn_failure_memory,5,20,15,0.85,0.15,1.0,0.0,0,0.8333333333333334,3,15
vanilla_episodic_memory,1,20,15,0.9,0.0,0.0,1.0,3300,nan,0,0
vanilla_episodic_memory,2,20,15,0.8,0.15,0.4666666666666667,0.5333333333333333,1760,0.7,3,7
vanilla_episodic_memory,3,20,15,0.8,0.15,0.5333333333333333,0.4666666666666667,1540,0.7272727272727273,3,8
vanilla_episodic_memory,4,20,15,0.8,0.15,0.5333333333333333,0.4666666666666667,1540,0.7272727272727273,3,8
vanilla_episodic_memory,5,20,15,0.8,0.2,1.0,0.0,0,0.7894736842105263,4,15
geometry_guided_cross_episode_failure_memory,1,20,15,0.9,0.0,0.2,0.8,2640,1.0,0,3
geometry_guided_cross_episode_failure_memory,2,20,15,0.9,0.0,0.4666666666666667,0.5333333333333333,1760,1.0,0,7
geometry_guided_cross_episode_failure_memory,3,20,15,0.9,0.05,1.0,0.0,0,0.9375,1,15
geometry_guided_cross_episode_failure_memory,4,20,15,0.9,0.05,1.0,0.0,0,0.9375,1,15
geometry_guided_cross_episode_failure_memory,5,20,15,0.9,0.05,1.0,0.0,0,0.9375,1,15
