case,success_rate,collision_rate,final_collision_rate,near_collision_rate,avg_min_clearance,false_feasible_collision_rate,narrow_collision_rate,avg_recover_triggers,avg_memory_writes,reject_rate,narrow_sr,normal_sr,wide_sr
rule_baseline,0.620,0.334,0.334,0.490,0.090,0.928,0.707,,,,,,
passage_ppo,0.832,0.168,0.168,0.504,0.089,1.000,0.190,,,,,,
passage_plus_collision_recovery,0.832,0.168,0.168,0.504,0.089,1.000,0.190,,,,,,
passage_plus_risk_recovery,0.694,0.134,0.134,0.506,0.089,0.807,0.052,,,,,,
geometry_fsm,0.834,0.166,0.166,0.474,0.092,1.000,0.181,0.704,,0.000,,,
memory_gated_fsm,0.834,0.150,0.150,0.506,0.089,0.904,0.112,0.264,0.562,0.016,,,
ablation_no_failure,0.822,0.178,0.178,0.504,0.089,1.000,0.233,,,,,,
ablation_no_clearance,0.832,0.168,0.168,1.000,0.000,1.000,0.190,,,,,,
no_curriculum,0.826,0.174,0.174,0.504,0.089,1.000,0.215,,,,,,
habitat_ppo_baseline,0.102,0.000,0.000,0.000,0.000,,,,,0.000,0.038,0.182,0.130
habitat_apf_gap,0.936,0.000,0.000,0.000,0.000,,,,,0.000,0.924,1.000,0.826
habitat_geometry_fsm,1.000,0.000,0.000,1.000,-0.088,,,,,0.000,1.000,1.000,1.000
habitat_ours_memory,1.000,0.000,0.000,1.000,-0.088,,,,,0.000,1.000,1.000,1.000
habitat_ppo_policy,0.064,0.000,0.000,1.000,-0.163,,,,,0.000,0.025,0.109,0.087
