seed,corridor_type,success,steps
0,narrow_exit,0.0,15
1,s_shaped,0.0,11
2,l_shaped,0.0,16
3,straight,0.0,9
4,false_feasible,0.0,14
5,asymmetric,0.0,10
6,s_shaped,0.0,13
7,narrow_exit,0.0,16
8,l_shaped,0.0,14
9,asymmetric,0.0,17
10,false_feasible,0.0,15
11,straight,0.0,12
12,l_shaped,0.0,15
13,asymmetric,0.0,9
14,asymmetric,0.0,26
15,narrow_exit,0.0,12
16,narrow_exit,0.0,18
17,asymmetric,0.0,12
18,l_shaped,0.0,19
19,s_shaped,0.0,14
20,l_shaped,0.0,11
21,narrow_entry,0.0,11
22,l_shaped,0.0,18
23,narrow_exit,0.0,12
24,l_shaped,0.0,13
25,straight,0.0,10
26,s_shaped,0.0,15
27,narrow_exit,0.0,10
28,asymmetric,0.0,10
29,straight,0.0,13
30,l_shaped,0.0,12
31,false_feasible,0.0,10
32,straight,0.0,12
33,s_shaped,0.0,14
34,straight,0.0,14
35,l_shaped,0.0,13
36,straight,0.0,12
37,narrow_entry,0.0,10
38,s_shaped,0.0,19
39,s_shaped,0.0,13
40,narrow_entry,0.0,12
41,false_feasible,0.0,18
42,narrow_entry,0.0,17
43,narrow_exit,0.0,11
44,straight,0.0,9
45,narrow_exit,0.0,16
46,false_feasible,0.0,23
47,narrow_entry,0.0,10
48,l_shaped,0.0,13
49,l_shaped,0.0,10
50,narrow_entry,0.0,17
51,false_feasible,0.0,21
52,narrow_exit,0.0,10
53,straight,0.0,9
54,l_shaped,0.0,11
55,asymmetric,0.0,11
56,narrow_entry,0.0,14
57,narrow_exit,0.0,12
58,l_shaped,0.0,12
59,narrow_exit,0.0,10
60,l_shaped,0.0,11
61,l_shaped,0.0,12
62,narrow_exit,0.0,12
63,narrow_exit,0.0,12
64,false_feasible,0.0,23
65,straight,0.0,10
66,false_feasible,0.0,12
67,s_shaped,0.0,11
68,s_shaped,0.0,13
69,narrow_exit,0.0,14
70,l_shaped,0.0,15
71,l_shaped,0.0,13
72,asymmetric,0.0,9
73,s_shaped,0.0,10
74,asymmetric,0.0,12
75,l_shaped,0.0,19
76,asymmetric,0.0,10
77,narrow_entry,0.0,9
78,s_shaped,0.0,16
79,false_feasible,0.0,16
80,narrow_entry,0.0,11
81,s_shaped,0.0,10
82,false_feasible,0.0,9
83,l_shaped,0.0,10
84,narrow_entry,0.0,16
85,straight,0.0,15
86,narrow_exit,0.0,9
87,narrow_exit,0.0,13
88,l_shaped,0.0,13
89,narrow_exit,0.0,14
90,l_shaped,0.0,14
91,l_shaped,0.0,20
92,narrow_exit,0.0,11
93,false_feasible,0.0,12
94,l_shaped,0.0,13
95,s_shaped,0.0,13
96,narrow_entry,0.0,10
97,narrow_exit,0.0,11
98,false_feasible,0.0,12
99,s_shaped,0.0,15
100,asymmetric,0.0,17
101,false_feasible,0.0,10
102,straight,0.0,13
103,l_shaped,0.0,15
104,asymmetric,0.0,14
105,narrow_exit,0.0,18
106,false_feasible,0.0,13
107,narrow_exit,0.0,10
108,asymmetric,0.0,15
109,s_shaped,0.0,12
110,false_feasible,0.0,9
111,straight,0.0,13
112,straight,0.0,11
113,straight,0.0,18
114,narrow_entry,0.0,10
115,narrow_entry,0.0,13
116,straight,0.0,14
117,asymmetric,0.0,19
118,false_feasible,0.0,17
119,false_feasible,0.0,12
120,asymmetric,0.0,14
121,narrow_exit,0.0,12
122,asymmetric,0.0,9
123,narrow_exit,0.0,15
124,narrow_entry,0.0,14
125,asymmetric,0.0,20
126,straight,0.0,10
127,straight,0.0,16
128,narrow_exit,0.0,12
129,l_shaped,0.0,13
130,s_shaped,0.0,11
131,narrow_exit,0.0,13
132,straight,0.0,11
133,false_feasible,0.0,16
134,false_feasible,0.0,15
135,s_shaped,0.0,15
136,straight,0.0,18
137,asymmetric,0.0,16
138,narrow_exit,0.0,11
139,s_shaped,0.0,10
140,narrow_exit,0.0,11
141,narrow_entry,0.0,11
142,straight,0.0,14
143,s_shaped,0.0,13
144,narrow_entry,0.0,15
145,narrow_exit,0.0,11
146,asymmetric,0.0,13
147,false_feasible,0.0,24
148,narrow_exit,0.0,12
149,straight,0.0,18
150,straight,0.0,11
151,s_shaped,0.0,11
152,l_shaped,0.0,11
153,false_feasible,0.0,9
154,narrow_exit,0.0,12
155,l_shaped,0.0,10
156,straight,0.0,24
157,l_shaped,0.0,10
158,false_feasible,0.0,16
159,asymmetric,0.0,16
