prior_width,bin_lo,bin_hi,bin,count,mean_p_feas,empirical_success,brier_contribution
0.26,0.0,0.2,"[0.0, 0.2)",278,0.010570,0.000000,0.000332
0.26,0.2,0.4,"[0.2, 0.4)",18,0.282029,0.000000,0.001675
0.26,0.4,0.6,"[0.4, 0.6)",16,0.496166,0.000000,0.004437
0.26,0.6,0.8,"[0.6, 0.8)",29,0.714490,0.000000,0.016556
0.26,0.8,1.0,"[0.8, 1.0]",559,0.994089,0.960644,0.020572
0.31,0.0,0.2,"[0.0, 0.2)",286,0.015368,0.000000,0.000549
0.31,0.2,0.4,"[0.2, 0.4)",23,0.278886,0.000000,0.002078
0.31,0.4,0.6,"[0.4, 0.6)",13,0.505468,0.076923,0.003614
0.31,0.6,0.8,"[0.6, 0.8)",25,0.710301,0.080000,0.013188
0.31,0.8,1.0,"[0.8, 1.0]",553,0.991366,0.949367,0.025485
0.36,0.0,0.2,"[0.0, 0.2)",287,0.012357,0.000000,0.000424
0.36,0.2,0.4,"[0.2, 0.4)",23,0.287841,0.000000,0.002191
0.36,0.4,0.6,"[0.4, 0.6)",21,0.501788,0.142857,0.005486
0.36,0.6,0.8,"[0.6, 0.8)",20,0.682094,0.050000,0.009873
0.36,0.8,1.0,"[0.8, 1.0]",549,0.991753,0.959927,0.019963
0.46,0.0,0.2,"[0.0, 0.2)",286,0.017070,0.003497,0.001304
0.46,0.2,0.4,"[0.2, 0.4)",34,0.292704,0.176471,0.005566
0.46,0.4,0.6,"[0.4, 0.6)",18,0.488625,0.166667,0.004984
0.46,0.6,0.8,"[0.6, 0.8)",18,0.702339,0.555556,0.005405
0.46,0.8,1.0,"[0.8, 1.0]",544,0.994342,0.959559,0.021323
0.56,0.0,0.2,"[0.0, 0.2)",327,0.014565,0.024465,0.008104
0.56,0.2,0.4,"[0.2, 0.4)",16,0.296099,0.000000,0.001633
0.56,0.4,0.6,"[0.4, 0.6)",22,0.508811,0.363636,0.005399
0.56,0.6,0.8,"[0.6, 0.8)",22,0.699756,0.272727,0.009029
0.56,0.8,1.0,"[0.8, 1.0]",513,0.990271,0.970760,0.013435
