method,bin_left,bin_right,bin_center,episode_count,low_support,success_rate,success_ci_low,success_ci_high,strict_success_rate,collision_rate,collision_ci_low,collision_ci_high,near_collision_rate,reject_rate,reject_ci_low,reject_ci_high,correct_reject_rate,false_reject_rate,timeout_rate,stuck_rate,mean_p_feas,mean_d_hat,mean_w_req_cons,commit_freq,explore_freq,recover_freq,reject_freq
Conservative reject gate,-0.2,-0.15,-0.175,17,False,0.0,0.0,0.1843181350088518,0.0,1.0,0.8156818649911483,1.0,1.0,0.0,0.0,0.1843181350088518,0.0,0.0,0.0,0.0,0.0007258694417184558,0.31726887296227846,0.4793367568209041,0.9355932203389831,0.06440677966101695,0.0,0.0
Conservative reject gate,-0.15,-0.1,-0.125,165,False,0.0,0.0,0.022751869401778084,0.0,1.0,0.977248130598222,1.0,1.0,0.0,0.0,0.022751869401778084,0.0,0.0,0.0,0.0,0.010902340067807825,0.3325419357328704,0.45100999675085174,0.9720382634289919,0.027961736571008096,0.0,0.0
Conservative reject gate,-0.1,-0.05,-0.075,199,False,0.0,0.0,0.018938233056634942,0.0,0.9798994974874372,0.9494658790228638,0.9921562188976523,1.0,0.020100502512562814,0.007843781102347624,0.05053412097713616,0.0,0.020100502512562814,0.0,0.0,0.07758056749567631,0.37024115243149763,0.44433991176138055,0.9365682548962292,0.06226249634609763,0.0,0.001169248757673195
Conservative reject gate,-0.05,-0.0,-0.025,202,False,0.04950495049504951,0.027109303577323454,0.08871507386970055,0.04950495049504951,0.8465346534653465,0.7904056674486032,0.8897294268229169,1.0,0.09900990099009901,0.06501073544988206,0.14797579832164484,0.0,0.09900990099009901,0.0049504950495049506,0.0,0.31818640095637557,0.4195407220337651,0.44421697261292603,0.7173584271551,0.2792807931440094,0.0,0.0033607797008906068
Conservative reject gate,-0.0,0.05,0.025,251,False,0.17928286852589642,0.13677437087933236,0.2314602925657579,0.17928286852589642,0.5856573705179283,0.5238719958045435,0.6448603611635382,0.9561752988047809,0.16733067729083664,0.1262431140654924,0.21844749957009804,0.0,0.16733067729083664,0.06772908366533864,0.0,0.6728144774813204,0.4671968802275411,0.44389529232910385,0.8425868398757413,0.1550409488844959,0.0,0.002372211239762779
Conservative reject gate,0.05,0.1,0.075,220,False,0.42727272727272725,0.36370444168271054,0.4933372334002182,0.42727272727272725,0.25,0.19740284404356356,0.3111779140540043,0.740909090909091,0.23636363636363636,0.18504850751950935,0.29672756465610756,0.0,0.23636363636363636,0.08636363636363636,0.0,0.9233416378140855,0.5152614752000029,0.4408975225879606,0.9227774721787332,0.0750222146997842,0.0,0.0022003131214826726
Conservative reject gate,0.1,0.15,0.125,104,False,0.4326923076923077,0.34155001052392997,0.5286297871800539,0.4326923076923077,0.15384615384615385,0.09697301114953089,0.23538023418524356,0.5384615384615384,0.25961538461538464,0.18498993550987544,0.3513664848614958,0.019230769230769232,0.2403846153846154,0.15384615384615385,0.0,0.9891051348487877,0.5537364351061674,0.43601704926702456,0.89474082482028,0.10321604237608778,0.0,0.0020431328036322363
Conservative reject gate,0.15,0.2,0.175,43,False,0.3023255813953488,0.1860200013584818,0.45105364177729607,0.3023255813953488,0.0,0.0,0.08200980322579117,0.3023255813953488,0.0,0.0,0.08200980322579117,0.0,0.0,0.6976744186046512,0.0,0.9995532237091921,0.6113665991051253,0.4399154611119021,0.8324857685009488,0.16751423149905123,0.0,0.0
Conservative reject gate,0.2,0.25,0.225,37,False,0.13513513513513514,0.059132944257320186,0.2797741178400979,0.13513513513513514,0.0,0.0,0.0940578258372025,0.10810810810810811,0.0,0.0,0.0940578258372025,0.0,0.0,0.8648648648648649,0.0,0.999990439296376,0.6734842078105824,0.45184043125932666,0.4430474479868283,0.5569525520131717,0.0,0.0
Conservative reject gate,0.25,0.3,0.275,45,False,0.4666666666666667,0.32935132065011297,0.6092254525987463,0.4666666666666667,0.0,0.0,0.07865159873288838,0.24444444444444444,0.022222222222222223,0.003933598882833428,0.1156668176841488,0.0,0.022222222222222223,0.5111111111111111,0.0,0.9999999662120511,0.7221025241745843,0.44537177329866356,0.2608966931099028,0.7390141723861307,0.0,8.913450396648542e-05
DEGNAV-Rule,-0.2,-0.15,-0.175,17,False,0.0,0.0,0.1843181350088518,0.0,1.0,0.8156818649911483,1.0,1.0,0.0,0.0,0.1843181350088518,0.0,0.0,0.0,0.0,0.0007258694417184558,0.31726887296227846,0.4793367568209041,0.9355932203389831,0.06440677966101695,0.0,0.0
DEGNAV-Rule,-0.15,-0.1,-0.125,165,False,0.0,0.0,0.022751869401778084,0.0,1.0,0.977248130598222,1.0,1.0,0.0,0.0,0.022751869401778084,0.0,0.0,0.0,0.0,0.010902340067807825,0.3325419357328704,0.45100999675085174,0.9720382634289919,0.027961736571008096,0.0,0.0
DEGNAV-Rule,-0.1,-0.05,-0.075,199,False,0.0,0.0,0.018938233056634942,0.0,1.0,0.9810617669433649,0.9999999999999999,1.0,0.0,0.0,0.018938233056634942,0.0,0.0,0.0,0.0,0.07758056749567631,0.37024115243149763,0.44433991176138055,0.9349285088999124,0.06507149110008754,0.0,0.0
DEGNAV-Rule,-0.05,-0.0,-0.025,202,False,0.04950495049504951,0.027109303577323454,0.08871507386970055,0.04950495049504951,0.9455445544554455,0.9051352265882169,0.9693241803323087,1.0,0.0,0.0,0.01866222112252115,0.0,0.0,0.0049504950495049506,0.0,0.31818640095637557,0.4195407220337651,0.44421697261292603,0.7160348876216035,0.2839651123783965,0.0,0.0
DEGNAV-Rule,-0.0,0.05,0.025,251,False,0.18326693227091634,0.14030182566989485,0.235780854378362,0.18326693227091634,0.7450199203187251,0.6876873328550699,0.794965688239675,0.9561752988047809,0.0,8.673617379884035e-19,0.015073916302594106,0.0,0.0,0.07171314741035857,0.0,0.6728144774813204,0.4671968802275411,0.44389529232910385,0.8354703216535868,0.1645296783464132,0.0,0.0
DEGNAV-Rule,0.05,0.1,0.075,220,False,0.4590909090909091,0.3945078179762539,0.5250781242578936,0.4590909090909091,0.4409090909090909,0.3768733230812539,0.5069730379236258,0.759090909090909,0.0,0.0,0.01716151619513562,0.0,0.0,0.1,0.0,0.9233416378140855,0.5152614752000029,0.4408975225879606,0.8700551889159044,0.12994481108409556,0.0,0.0
DEGNAV-Rule,0.1,0.15,0.125,104,False,0.5480769230769231,0.4524179018768031,0.6403108140489229,0.5480769230769231,0.25,0.17669640355383198,0.341114273632394,0.5961538461538461,0.0,0.0,0.03562135437245191,0.0,0.0,0.20192307692307693,0.0,0.9891051348487877,0.5537364351061674,0.43601704926702456,0.7764435042309606,0.22355649576903933,0.0,0.0
DEGNAV-Rule,0.15,0.2,0.175,43,False,0.3023255813953488,0.1860200013584818,0.45105364177729607,0.3023255813953488,0.0,0.0,0.08200980322579117,0.3023255813953488,0.0,0.0,0.08200980322579117,0.0,0.0,0.6976744186046512,0.0,0.9995532237091921,0.6113665991051253,0.4399154611119021,0.8324857685009488,0.16751423149905123,0.0,0.0
DEGNAV-Rule,0.2,0.25,0.225,37,False,0.13513513513513514,0.059132944257320186,0.2797741178400979,0.13513513513513514,0.0,0.0,0.0940578258372025,0.10810810810810811,0.0,0.0,0.0940578258372025,0.0,0.0,0.8648648648648649,0.0,0.999990439296376,0.6734842078105824,0.45184043125932666,0.4430474479868283,0.5569525520131717,0.0,0.0
DEGNAV-Rule,0.25,0.3,0.275,45,False,0.4666666666666667,0.32935132065011297,0.6092254525987463,0.4666666666666667,0.022222222222222223,0.003933598882833428,0.1156668176841488,0.24444444444444444,0.0,0.0,0.07865159873288838,0.0,0.0,0.5111111111111111,0.0,0.9999999662120511,0.7221025241745843,0.44537177329866356,0.260873440285205,0.739126559714795,0.0,0.0
Reactive rule baseline,-0.2,-0.15,-0.175,17,False,0.058823529411764705,0.01046040098499762,0.269820306375754,0.058823529411764705,0.9411764705882353,0.7301796936242461,0.9895395990150025,0.9411764705882353,0.0,0.0,0.1843181350088518,0.0,0.0,0.0,0.0,0.0007258694417184558,0.31726887296227846,0.4793367568209041,,,,
Reactive rule baseline,-0.15,-0.1,-0.125,165,False,0.024242424242424242,0.009466869080261894,0.06066672786567241,0.024242424242424242,0.9757575757575757,0.9393332721343275,0.990533130919738,0.9757575757575757,0.0,0.0,0.022751869401778084,0.0,0.0,0.0,0.0,0.010902340067807825,0.3325419357328704,0.45100999675085174,,,,
Reactive rule baseline,-0.1,-0.05,-0.075,199,False,0.01507537688442211,0.005140002903511805,0.04337798192025977,0.01507537688442211,0.9748743718592965,0.9425410290483589,0.9892211516164451,0.9899497487437185,0.0,0.0,0.018938233056634942,0.0,0.0,0.010050251256281407,0.0,0.07758056749567631,0.37024115243149763,0.44433991176138055,,,,
Reactive rule baseline,-0.05,-0.0,-0.025,202,False,0.0594059405940594,0.03430580686160328,0.1009510018503213,0.0594059405940594,0.9306930693069307,0.8870410197464935,0.9582697402766815,0.995049504950495,0.0,0.0,0.01866222112252115,0.0,0.0,0.009900990099009901,0.0,0.31818640095637557,0.4195407220337651,0.44421697261292603,,,,
Reactive rule baseline,-0.0,0.05,0.025,251,False,0.06374501992031872,0.039614739214939354,0.10102744273832007,0.06374501992031872,0.9083665338645418,0.8662581514659876,0.9381635503585869,0.9880478087649402,0.0,8.673617379884035e-19,0.015073916302594106,0.0,0.0,0.027888446215139442,0.0,0.6728144774813204,0.4671968802275411,0.44389529232910385,,,,
Reactive rule baseline,0.05,0.1,0.075,220,False,0.17727272727272728,0.13247601657841263,0.23314641660208396,0.17727272727272728,0.7636363636363637,0.7032724353438924,0.8149514924804906,0.8727272727272727,0.0,0.0,0.01716151619513562,0.0,0.0,0.05909090909090909,0.0,0.9233416378140855,0.5152614752000029,0.4408975225879606,,,,
Reactive rule baseline,0.1,0.15,0.125,104,False,0.20192307692307693,0.13603525270294686,0.2890467085575533,0.20192307692307693,0.7596153846153846,0.6691888609329077,0.8315462050660114,0.8461538461538461,0.0,0.0,0.03562135437245191,0.0,0.0,0.038461538461538464,0.0,0.9891051348487877,0.5537364351061674,0.43601704926702456,,,,
Reactive rule baseline,0.15,0.2,0.175,43,False,0.13953488372093023,0.06555723427964878,0.2726358796738286,0.13953488372093023,0.8604651162790697,0.7273641203261714,0.9344427657203511,0.7906976744186046,0.0,0.0,0.08200980322579117,0.0,0.0,0.0,0.0,0.9995532237091921,0.6113665991051253,0.4399154611119021,,,,
