method,bin_left,bin_right,bin_center,episode_count,low_support,success_rate,success_ci_low,success_ci_high,strict_success_rate,collision_rate,collision_ci_low,collision_ci_high,near_collision_rate,reject_rate,reject_ci_low,reject_ci_high,correct_reject_rate,false_reject_rate,timeout_rate,stuck_rate,mean_p_feas,mean_d_hat,mean_w_req_cons,commit_freq,explore_freq,recover_freq,reject_freq
DEGNAV-Rule,-0.1,-0.05,-0.075,2,True,0.0,0.0,0.6576197724933469,0.0,1.0,0.34238022750665303,1.0,1.0,0.0,0.0,0.6576197724933469,0.0,0.0,0.0,0.0,0.12982543845777691,0.4312607944011688,0.48796650609473524,0.8333333333333334,0.16666666666666666,0.0,0.0
DEGNAV-Rule,-0.05,-0.0,-0.025,26,False,0.23076923076923078,0.11033849405783291,0.42051554078943687,0.23076923076923078,0.7692307692307693,0.5794844592105632,0.8896615059421671,1.0,0.0,0.0,0.1287289218592153,0.0,0.0,0.0,0.0,0.4019741360126888,0.45118421889268434,0.46397124451915706,0.7956551255940258,0.2043448744059742,0.0,0.0
DEGNAV-Rule,-0.0,0.05,0.025,110,False,0.2545454545454545,0.182381907512531,0.34327420617929494,0.2545454545454545,0.6545454545454545,0.5618248853889186,0.736836080064376,0.9090909090909091,0.0,0.0,0.033743935298164184,0.0,0.0,0.09090909090909091,0.0,0.6967748095834279,0.4751988554542715,0.44847878150584464,0.9169788397286626,0.08302116027133745,0.0,0.0
DEGNAV-Rule,0.05,0.1,0.075,181,False,0.47513812154696133,0.40366151983861165,0.5476481048666854,0.47513812154696133,0.43646408839779005,0.366276046917766,0.5092929939957708,0.8066298342541437,0.0,0.0,0.02078245240652716,0.0,0.0,0.08839779005524862,0.0,0.9256858394896736,0.5204521443962392,0.445018845523066,0.8736887483833884,0.12631125161661158,0.0,0.0
DEGNAV-Rule,0.1,0.15,0.125,163,False,0.7239263803680982,0.6507396109357623,0.7868015165273686,0.7239263803680982,0.1411042944785276,0.09590067646959442,0.2028347767744289,0.49079754601226994,0.0,0.0,0.023024605801502687,0.0,0.0,0.13496932515337423,0.0,0.9921669878979752,0.5711870438482133,0.44571869594486674,0.885495851613744,0.11450414838625603,0.0,0.0
DEGNAV-Rule,0.15,0.2,0.175,156,False,0.7243589743589743,0.6494863105273259,0.7884476304943469,0.7243589743589743,0.038461538461538464,0.017744432159084292,0.08136288916776027,0.3141025641025641,0.0,0.0,0.024032931437414938,0.0,0.0,0.23717948717948717,0.0,0.9996185549464948,0.617749177874663,0.44303599566390034,0.8531541231945939,0.146845876805406,0.0,0.0
DEGNAV-Rule,0.2,0.25,0.225,142,False,0.6267605633802817,0.5448538752784042,0.7019895140506924,0.6267605633802817,0.1056338028169014,0.06506672672777775,0.16697606202614415,0.2676056338028169,0.0,0.0,0.02633996431300811,0.0,0.0,0.2676056338028169,0.0,0.9999916571451029,0.6685958076530779,0.4449715025485847,0.6543162128712872,0.3456837871287129,0.0,0.0
DEGNAV-Rule,0.25,0.3,0.275,144,False,0.7777777777777778,0.7031576240332872,0.8379625775539147,0.7777777777777778,0.04861111111111111,0.023743988255155446,0.09693568416564162,0.22916666666666666,0.0,0.0,0.025983637143036746,0.0,0.0,0.1736111111111111,0.0,0.999999963000822,0.7201252033313116,0.4434928773668552,0.5410906123929106,0.45890938760708944,0.0,0.0
Reactive rule baseline,-0.1,-0.05,-0.075,2,True,0.0,0.0,0.6576197724933469,0.0,1.0,0.34238022750665303,1.0,1.0,0.0,0.0,0.6576197724933469,0.0,0.0,0.0,0.0,0.12982543845777691,0.4312607944011688,0.48796650609473524,,,,
Reactive rule baseline,-0.05,-0.0,-0.025,26,False,0.19230769230769232,0.08507061148942408,0.37876257119317,0.19230769230769232,0.8076923076923077,0.6212374288068301,0.9149293885105758,1.0,0.0,0.0,0.1287289218592153,0.0,0.0,0.0,0.0,0.4019741360126888,0.45118421889268434,0.46397124451915706,,,,
Reactive rule baseline,-0.0,0.05,0.025,110,False,0.10909090909090909,0.06351460897644062,0.18104883134757863,0.10909090909090909,0.8363636363636363,0.7561148837383185,0.8939119234247346,0.9727272727272728,0.0,0.0,0.033743935298164184,0.0,0.0,0.05454545454545454,0.0,0.6967748095834279,0.4751988554542715,0.44847878150584464,,,,
Reactive rule baseline,0.05,0.1,0.075,181,False,0.09944751381215469,0.06383423171486922,0.15170972187047022,0.09944751381215469,0.850828729281768,0.7916642235284824,0.8954110722967722,0.8950276243093923,0.0,0.0,0.02078245240652716,0.0,0.0,0.049723756906077346,0.0,0.9256858394896736,0.5204521443962392,0.445018845523066,,,,
Reactive rule baseline,0.1,0.15,0.125,163,False,0.1901840490797546,0.13734245564027744,0.25729242280114445,0.1901840490797546,0.7055214723926381,0.6314640604151905,0.7701147825989157,0.8650306748466258,0.0,0.0,0.023024605801502687,0.0,0.0,0.10429447852760736,0.0,0.9921669878979752,0.5711870438482133,0.44571869594486674,,,,
Reactive rule baseline,0.15,0.2,0.175,156,False,0.19230769230769232,0.1381588945500224,0.2612459863345406,0.19230769230769232,0.6923076923076923,0.6159865933477113,0.7593853560994368,0.782051282051282,0.0,0.0,0.024032931437414938,0.0,0.0,0.11538461538461539,0.0,0.9996185549464948,0.617749177874663,0.44303599566390034,,,,
Reactive rule baseline,0.2,0.25,0.225,142,False,0.21830985915492956,0.1582759946017894,0.2931831402224405,0.21830985915492956,0.647887323943662,0.5663769503035597,0.7216070039137196,0.6408450704225352,0.0,0.0,0.02633996431300811,0.0,0.0,0.13380281690140844,0.0,0.9999916571451029,0.6685958076530779,0.4449715025485847,,,,
Reactive rule baseline,0.25,0.3,0.275,144,False,0.2569444444444444,0.19254368321773863,0.3339761403934598,0.2569444444444444,0.5972222222222222,0.5155967976218372,0.6737952729336834,0.7430555555555556,0.0,0.0,0.025983637143036746,0.0,0.0,0.14583333333333334,0.0,0.999999963000822,0.7201252033313116,0.4434928773668552,,,,
