variant,label,metric,mean,std,seeds,episodes,corridor_type,benchmark_version,raw_csv
full,DEGNAV full,overall,0.699333,0.016042,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,straight,0.888221,0.054171,3,320,straight,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,l_shaped,0.797978,0.022749,3,302,l_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,s_shaped,0.753370,0.036020,3,235,s_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,narrow_entry,0.593470,0.050203,3,147,narrow_entry,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,asymmetric,0.460613,0.045342,3,141,asymmetric,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,collision,0.170000,0.014000,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,timeout_stuck,0.130667,0.018903,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
full,DEGNAV full,delta_overall,0.000000,0.000000,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,overall,0.024000,0.005292,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,straight,0.077898,0.007450,3,320,straight,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,l_shaped,0.000000,0.000000,3,302,l_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,s_shaped,0.000000,0.000000,3,235,s_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,narrow_entry,0.020781,0.003438,3,147,narrow_entry,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,asymmetric,0.028105,0.011018,3,141,asymmetric,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,collision,0.481333,0.018148,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,timeout_stuck,0.494667,0.015144,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_alignment,w/o alignment,delta_overall,-0.675333,0.020526,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_recovery,w/o recovery,overall,0.699333,0.016042,3,1500,all,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_recovery,w/o recovery,straight,0.888221,0.054171,3,320,straight,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_recovery,w/o recovery,l_shaped,0.797978,0.022749,3,302,l_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
no_recovery,w/o recovery,s_shaped,0.753370,0.036020,3,235,s_shaped,procedural_v2_core_ablation,examples/narrow_passage_rl/results/narrow_passage_rl/raw/procedural_ablation_core.csv
