ablation,avg_align_steps,avg_attempts,avg_commit_steps,avg_high_risk_fraction,avg_max_risk,avg_memory_failed_states,avg_memory_queries,avg_memory_writes,avg_min_clearance,avg_recover_triggers,avg_recovery_failures,avg_recovery_steps,avg_recovery_successes,avg_retries,avg_risk_triggers,avg_steps,case,collision_rate,difficulty,episodes,false_feasible_avg_min_clearance,false_feasible_collision_rate,false_feasible_episodes,false_feasible_near_collision_rate,false_feasible_success_rate,final_collision_rate,high_risk_avg_min_clearance,high_risk_collision_rate,high_risk_episodes,high_risk_near_collision_rate,high_risk_success_rate,model,narrow_avg_min_clearance,narrow_collision_rate,narrow_episodes,narrow_near_collision_rate,narrow_success_rate,near_collision_group_avg_min_clearance,near_collision_group_collision_rate,near_collision_group_episodes,near_collision_group_near_collision_rate,near_collision_group_success_rate,near_collision_rate,normal_avg_min_clearance,normal_collision_rate,normal_episodes,normal_near_collision_rate,normal_success_rate,policy,recovery_success_rate,reject_rate,risk_recovery_success_rate,script,stuck_rate,success_rate,wide_avg_min_clearance,wide_collision_rate,wide_episodes,wide_near_collision_rate,wide_success_rate
,,,,0.5007,,,,,0.0898,,,,,,,118.402,rule_baseline,0.334,hard,500,0.0812,0.9277,83,0.5663,0.0723,,0.0161,0.4894,284,0.8627,0.4296,,0.0126,0.7069,116,0.8966,0.2155,0.0078,0.5469,245,1.0,0.3633,0.49,0.0915,0.2158,417,0.4748,0.729,rule_centerline_recovery,,,,eval_rule_baseline.py,0.0,0.62,0.1131,0.2214,384,0.3672,0.7422
full,,,,0.1948,,,,,0.0889,,,,,,,,passage_ppo,0.168,hard,500,0.0815,1.0,83,0.5663,0.0,,0.0051,0.3372,86,0.9651,0.6628,data/narrow_passage_sb3_hard/ppo_narrow_passage.zip,0.0106,0.1897,116,0.9052,0.8103,0.0067,0.1905,252,1.0,0.8095,0.504,0.0904,0.0024,417,0.4916,0.9976,passage_ppo,,,,eval_sb3.py,0.0,0.832,0.1126,0.1615,384,0.3828,0.8385
no_failure,,,,0.2049,,,,,0.0892,,,,,,,,ablation_no_failure,0.178,hard,500,0.0819,1.0,83,0.5663,0.0,,0.0054,0.3523,88,0.9545,0.6477,data/narrow_passage_ablation_no_failure/ppo_narrow_passage.zip,0.0106,0.2328,116,0.9052,0.7672,0.0068,0.2103,252,1.0,0.7897,0.504,0.0907,0.0144,417,0.4916,0.9856,passage_ppo,,,,eval_sb3.py,0.0,0.822,0.113,0.1615,384,0.3828,0.8385
no_clearance,,,,1.0,,,,,0.0,,,,,,,,ablation_no_clearance,0.168,hard,500,0.0,1.0,83,1.0,0.0,,0.0,0.168,500,1.0,0.832,data/narrow_passage_ablation_no_clearance/ppo_narrow_passage.zip,0.0,0.1897,116,1.0,0.8103,0.0,0.168,500,1.0,0.832,1.0,0.0,0.0024,417,1.0,0.9976,passage_ppo,,,,eval_sb3.py,0.0,0.832,0.0,0.1615,384,1.0,0.8385
full,,,,0.2095,,,,,0.089,,,,,,,,no_curriculum,0.174,hard,500,0.0822,1.0,83,0.5663,0.0,,0.0066,0.3196,97,0.9381,0.6804,data/narrow_passage_no_curriculum/ppo_narrow_passage.zip,0.0103,0.2155,116,0.9052,0.7845,0.0068,0.2024,252,1.0,0.7976,0.504,0.0903,0.0096,417,0.4916,0.9904,passage_ppo,,,,eval_sb3.py,0.0,0.826,0.1127,0.1615,384,0.3828,0.8385
,,,,,,,,,0.217,,,,,,,24.3,recovery_standalone,0.072,hard,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recovery_ppo,0.788,,,eval_recovery_sb3.py,0.0,,,,,,
,,,,,,,,,0.217,,,,,,,23.8,risk_recovery_standalone,0.09,hard,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,risk_recovery_ppo,,,0.73,eval_risk_recovery_sb3.py,0.0,,,,,,
,,,,0.194,,,,,0.089,,,0.3,0.0,0.168,0.0,,passage_plus_collision_recovery,,hard,500,,1.0,,,0.0,0.168,,,,,,,,0.19,,,0.81,,,,,,0.504,,,,,,passage_ppo_plus_recovery_ppo,,,,eval_passage_with_recovery.py,0.0,0.832,,,,,
,,,,0.214,,,,,0.089,,,10.1,0.44,0.746,0.612,,passage_plus_risk_recovery,,hard,500,,0.807,,,0.0,0.134,,,,,,,,0.052,,,0.215,,,,,,0.506,,,,,,passage_ppo_plus_recovery_ppo,,,,eval_passage_with_recovery.py,0.0,0.694,,,,,
,2.0,,34.0,0.213,0.679,,,,0.092,0.704,0.258,13.2,0.366,,,,geometry_fsm,0.166,hard,500,,1.0,,,0.0,,,,,,,,,0.181,,,0.819,,,,,,0.474,,,,,,failure_aware_mode_fsm,,0.0,,eval_mode_fsm.py,0.0,0.834,,,,,
,0.0,1.334,50.5,0.192,0.702,0.248,0.264,0.562,0.089,0.264,0.144,3.7,0.156,,,,memory_gated_fsm,0.15,hard,500,,0.904,,,0.0,,,,,,,,,0.112,,,0.819,,,,,,0.506,,,,,,failure_memory_gated_fsm,,0.016,,eval_memory_fsm.py,0.0,0.834,,,,,
